customer_id,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport
A519289,None,No,No,No,No,Yes,Yes
A521063,Fiber Optic,Yes,No,No,Yes,No,No
A525577,DSL,Yes,No,No,No,Yes,Yes
A525629,Fiber Optic,Yes,Yes,No,No,No,No
A527793,Fiber Optic,Yes,Yes,No,Yes,Yes,No
A531249,DSL,No,No,Yes,No,Yes,Yes
A53575,None,Yes,Yes,No,Yes,No,No
A536604,Fiber Optic,Yes,Yes,No,No,No,No
A538839,Fiber Optic,Yes,No,Yes,Yes,No,No
A539301,DSL,No,No,No,Yes,No,Yes
A540097,DSL,Yes,No,Yes,Yes,Yes,Yes
A541966,None,Yes,Yes,Yes,Yes,No,Yes
A544408,None,Yes,No,No,Yes,Yes,No
A544585,None,Yes,No,Yes,No,Yes,Yes
A54539,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No
A546615,None,Yes,No,Yes,No,Yes,No
A547802,None,Yes,Yes,Yes,No,Yes,No
A549038,DSL,Yes,No,Yes,Yes,No,Yes
A551693,DSL,Yes,Yes,No,Yes,No,No
A552277,DSL,Yes,Yes,No,Yes,No,Yes
A553226,Fiber Optic,No,Yes,Yes,Yes,Yes,No
A553843,Fiber Optic,Yes,Yes,Yes,Yes,No,No
A560329,Fiber Optic,Yes,No,Yes,No,No,Yes
A561114,DSL,Yes,No,No,No,Yes,No
A564348,Fiber Optic,Yes,No,Yes,No,No,No
A565557,DSL,Yes,Yes,No,No,No,Yes
A568113,DSL,Yes,No,No,No,Yes,Yes
A568845,DSL,Yes,No,Yes,No,Yes,Yes
A572964,DSL,Yes,Yes,No,Yes,Yes,No
A574980,DSL,Yes,Yes,No,Yes,No,No
A577468,DSL,Yes,No,Yes,Yes,No,No
A579005,DSL,Yes,Yes,No,Yes,No,No
A581416,DSL,Yes,Yes,No,Yes,Yes,No
A583737,Fiber Optic,Yes,No,No,Yes,No,No
A590798,DSL,Yes,No,Yes,Yes,Yes,Yes
A593331,Fiber Optic,Yes,Yes,No,No,No,No
A595003,Fiber Optic,Yes,Yes,No,No,No,No
A595310,Fiber Optic,Yes,No,Yes,Yes,Yes,No
A597531,Fiber Optic,Yes,No,No,Yes,No,No
A599326,DSL,Yes,Yes,No,No,No,Yes
A59966,Fiber Optic,Yes,No,No,Yes,Yes,No
A604312,DSL,Yes,No,No,No,Yes,No
A605807,DSL,Yes,Yes,No,Yes,Yes,No
A606860,DSL,Yes,No,No,No,No,No
A609766,Fiber Optic,Yes,No,Yes,No,No,Yes
A609986,Fiber Optic,Yes,No,No,No,Yes,No
A613026,Fiber Optic,Yes,No,No,Yes,No,No
A613334,DSL,No,No,No,Yes,Yes,No
A615311,DSL,Yes,Yes,Yes,No,No,No
A615789,Fiber Optic,Yes,Yes,No,Yes,No,Yes
A620815,None,Yes,No,Yes,No,No,No
A626819,DSL,Yes,No,No,No,No,Yes
A627705,None,Yes,Yes,No,No,No,Yes
A629515,DSL,Yes,Yes,No,Yes,Yes,No
A631325,None,Yes,No,No,No,Yes,No
A633603,DSL,Yes,No,Yes,Yes,Yes,No
A634512,None,Yes,Yes,No,Yes,Yes,No
A638022,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes
A642624,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No
A643000,DSL,Yes,Yes,No,Yes,No,No
A647291,Fiber Optic,Yes,Yes,No,Yes,Yes,No
A651095,DSL,Yes,No,Yes,Yes,No,No
A651960,None,Yes,Yes,Yes,Yes,Yes,No
A652407,DSL,Yes,No,No,No,No,Yes
A652420,Fiber Optic,Yes,No,No,No,Yes,No
A653303,Fiber Optic,Yes,Yes,No,Yes,No,No
A65734,Fiber Optic,Yes,No,Yes,No,Yes,Yes
A658164,None,Yes,No,Yes,No,No,Yes
A660947,DSL,No,Yes,Yes,No,Yes,Yes
A661362,DSL,Yes,No,No,Yes,Yes,No
A661671,Fiber Optic,Yes,No,No,Yes,Yes,Yes
A663417,None,Yes,No,No,Yes,No,Yes
A665879,Fiber Optic,Yes,No,No,No,Yes,No
A669802,DSL,Yes,Yes,No,No,Yes,No
A67068,DSL,No,No,No,No,No,No
A671833,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes
A672602,None,Yes,Yes,No,Yes,Yes,Yes
A672620,Fiber Optic,Yes,No,No,Yes,Yes,Yes
A687427,None,Yes,No,No,No,Yes,No
A687783,DSL,No,Yes,No,No,Yes,Yes
A690706,Fiber Optic,Yes,No,No,Yes,No,Yes
A695130,Fiber Optic,Yes,Yes,No,No,Yes,No
A696580,DSL,Yes,Yes,No,No,No,No
A69660,DSL,Yes,No,No,No,Yes,Yes
A703201,DSL,Yes,No,Yes,Yes,Yes,Yes
A70661,DSL,Yes,Yes,No,Yes,Yes,Yes
A708086,Fiber Optic,Yes,No,Yes,No,No,Yes
A708666,DSL,No,Yes,Yes,Yes,Yes,Yes
A710226,Fiber Optic,Yes,Yes,No,Yes,No,No
A712256,DSL,Yes,No,No,No,Yes,No
A712898,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes
A715491,Fiber Optic,Yes,Yes,No,Yes,No,No
A723167,Fiber Optic,Yes,No,No,Yes,No,No
A723309,None,Yes,No,No,Yes,No,No
A727077,DSL,Yes,Yes,No,No,Yes,No
A727653,None,Yes,No,No,Yes,Yes,No
A733457,DSL,Yes,No,No,No,Yes,No
A740543,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes
A744958,DSL,Yes,No,Yes,Yes,Yes,Yes
A745374,None,No,No,No,No,Yes,Yes
A748930,DSL,Yes,Yes,Yes,Yes,Yes,No
A751773,Fiber Optic,Yes,Yes,No,Yes,Yes,No
A752269,DSL,Yes,Yes,No,No,No,Yes
A752890,DSL,Yes,Yes,Yes,No,Yes,No
A753189,None,Yes,No,Yes,Yes,Yes,Yes
A756392,None,Yes,No,No,Yes,Yes,No
A756452,Fiber Optic,No,Yes,Yes,Yes,Yes,No
A758129,Fiber Optic,Yes,No,No,No,No,Yes
A759341,Fiber Optic,Yes,No,Yes,No,Yes,No
A764334,Fiber Optic,Yes,Yes,No,No,Yes,Yes
A764510,DSL,Yes,No,No,Yes,No,No
A764645,Fiber Optic,Yes,No,No,No,No,Yes
A765321,DSL,Yes,Yes,No,Yes,No,Yes
A765364,DSL,No,No,No,Yes,No,Yes
A766555,DSL,Yes,No,No,No,No,No
A767144,Fiber Optic,Yes,No,No,No,No,No
A768649,Fiber Optic,Yes,No,No,Yes,Yes,No
A771900,Fiber Optic,No,No,No,Yes,No,Yes
A776577,DSL,Yes,No,No,No,Yes,No
A77696,DSL,Yes,Yes,Yes,Yes,Yes,No
A78095,Fiber Optic,Yes,Yes,No,Yes,Yes,No
A782700,Fiber Optic,Yes,No,No,Yes,Yes,No
A784083,None,Yes,No,No,No,No,Yes
A78645,None,No,Yes,No,Yes,No,No
A787794,None,Yes,No,No,Yes,Yes,Yes
A793530,DSL,Yes,No,No,No,Yes,No
A793645,Fiber Optic,Yes,No,Yes,No,No,Yes
A79548,Fiber Optic,No,Yes,Yes,No,No,No
A795494,DSL,Yes,Yes,Yes,Yes,No,No
A795602,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes
A800117,None,Yes,No,No,No,Yes,No
A803107,Fiber Optic,Yes,Yes,No,No,Yes,No
A81135,Fiber Optic,Yes,No,No,No,Yes,No
A811650,Fiber Optic,No,Yes,No,Yes,No,No
A812234,None,Yes,No,No,Yes,No,No
A818327,Fiber Optic,Yes,Yes,Yes,No,Yes,No
A821790,DSL,Yes,No,Yes,Yes,No,No
A822635,DSL,Yes,No,No,Yes,No,Yes
A822901,None,Yes,Yes,No,Yes,No,Yes
A823740,DSL,Yes,No,No,No,No,No
A825502,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes
A829889,Fiber Optic,Yes,Yes,Yes,No,No,No
A833360,DSL,Yes,No,No,No,Yes,Yes
A83621,Fiber Optic,Yes,Yes,Yes,No,No,Yes
A840799,DSL,Yes,No,No,Yes,Yes,Yes
A849397,DSL,Yes,Yes,Yes,No,Yes,No
A853801,DSL,Yes,Yes,No,Yes,No,No
A854142,DSL,Yes,Yes,No,No,Yes,Yes
A854984,DSL,Yes,No,Yes,Yes,Yes,No
A855887,DSL,Yes,Yes,No,Yes,Yes,Yes
A857076,Fiber Optic,Yes,Yes,No,Yes,No,No
A859738,Fiber Optic,Yes,Yes,Yes,Yes,No,No
A861700,DSL,Yes,Yes,Yes,Yes,Yes,No
A863691,Fiber Optic,Yes,Yes,No,No,Yes,Yes
A86912,DSL,Yes,Yes,Yes,Yes,No,Yes
A871046,Fiber Optic,Yes,Yes,No,No,No,No
A873218,DSL,Yes,Yes,No,Yes,Yes,No
A874816,Fiber Optic,Yes,No,No,No,No,No
A878642,DSL,Yes,No,No,Yes,No,Yes
A878705,None,Yes,No,Yes,Yes,No,No
A879207,Fiber Optic,Yes,No,No,No,No,No
A880064,DSL,Yes,Yes,Yes,Yes,No,No
A880413,None,Yes,Yes,No,No,Yes,Yes
A882675,Fiber Optic,Yes,Yes,No,No,No,No
A883961,DSL,Yes,Yes,Yes,Yes,Yes,No
A885053,DSL,Yes,No,No,No,No,Yes
A886067,Fiber Optic,Yes,No,No,Yes,No,Yes
A889769,Fiber Optic,Yes,Yes,No,No,No,No
A899075,None,Yes,Yes,No,No,Yes,Yes
A901418,None,Yes,No,No,Yes,No,Yes
A903151,None,No,Yes,Yes,No,Yes,No
A912311,Fiber Optic,Yes,No,No,No,No,No
A912671,Fiber Optic,Yes,No,No,Yes,Yes,No
A919620,None,Yes,No,Yes,Yes,Yes,Yes
A923883,DSL,Yes,No,Yes,No,Yes,Yes
A934321,DSL,No,No,No,No,No,Yes
A936347,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No
A940663,None,Yes,Yes,No,No,No,No
A940721,None,Yes,No,Yes,No,Yes,No
A943825,Fiber Optic,Yes,No,Yes,No,Yes,Yes
A944069,DSL,Yes,Yes,Yes,No,No,Yes
A945949,None,Yes,No,No,No,Yes,Yes
A947132,DSL,Yes,No,No,No,No,No
A948573,None,Yes,Yes,Yes,No,No,Yes
A948817,DSL,Yes,No,No,No,Yes,Yes
A951002,DSL,Yes,Yes,No,No,No,No
A953728,Fiber Optic,Yes,No,Yes,Yes,Yes,No
A955987,Fiber Optic,Yes,No,Yes,Yes,No,Yes
A957431,None,Yes,No,No,Yes,No,Yes
A959352,Fiber Optic,No,Yes,No,No,Yes,Yes
A95964,DSL,Yes,Yes,No,Yes,Yes,Yes
A96078,None,Yes,Yes,Yes,No,No,No
A962670,None,Yes,Yes,No,No,Yes,No
A968154,None,Yes,No,No,Yes,Yes,Yes
A972815,None,Yes,No,No,No,Yes,No
A975552,Fiber Optic,No,No,No,Yes,No,Yes
A977827,Fiber Optic,Yes,No,No,No,Yes,No
A978012,None,Yes,No,No,No,Yes,No
A97903,Fiber Optic,Yes,No,No,No,No,Yes
A980855,DSL,Yes,No,No,No,Yes,No
A981600,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No
A984966,DSL,Yes,Yes,No,No,Yes,No
A985093,Fiber Optic,Yes,No,Yes,Yes,No,No
A985460,DSL,Yes,No,No,No,No,No
A987044,DSL,Yes,Yes,No,No,Yes,No
A988584,Fiber Optic,Yes,Yes,No,No,No,Yes
A991604,DSL,Yes,Yes,No,Yes,No,No
A993007,Fiber Optic,Yes,No,Yes,Yes,No,No
A994697,DSL,Yes,Yes,No,Yes,Yes,No
A995277,DSL,Yes,No,Yes,No,No,No
A995509,DSL,Yes,No,No,Yes,Yes,No
B04330,Fiber Optic,Yes,Yes,No,Yes,No,Yes
B102250,Fiber Optic,Yes,No,No,Yes,No,No
B105213,DSL,Yes,No,No,No,Yes,Yes
B110173,None,Yes,Yes,No,Yes,Yes,Yes
B110246,Fiber Optic,No,No,No,Yes,No,Yes
B110833,Fiber Optic,Yes,No,Yes,No,Yes,No
B113838,DSL,Yes,Yes,No,No,No,Yes
B118468,DSL,Yes,Yes,No,No,Yes,No
B118484,Fiber Optic,Yes,Yes,Yes,No,Yes,No
B118954,DSL,Yes,No,Yes,Yes,No,Yes
B124449,DSL,Yes,Yes,Yes,No,Yes,No
B12658,Fiber Optic,Yes,No,No,No,Yes,Yes
B128794,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No
B129670,DSL,Yes,No,No,No,No,No
B133081,DSL,Yes,Yes,Yes,No,No,No
B13324,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes
B133896,Fiber Optic,Yes,No,No,No,No,Yes
B133945,Fiber Optic,Yes,Yes,No,No,No,Yes
B136240,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No
B140147,DSL,Yes,Yes,No,Yes,No,No
B142422,DSL,Yes,No,Yes,No,No,Yes
B143750,DSL,Yes,No,No,No,No,No
B146281,DSL,Yes,Yes,No,Yes,No,No
B14813,DSL,Yes,Yes,No,No,Yes,No
B148329,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes
B149716,Fiber Optic,Yes,No,No,Yes,No,No
B154541,DSL,Yes,Yes,No,No,No,No
B15517,None,Yes,Yes,Yes,Yes,No,No
B163052,Fiber Optic,Yes,No,No,No,No,Yes
B164687,Fiber Optic,Yes,No,Yes,No,No,No
B165487,Fiber Optic,Yes,No,No,Yes,Yes,No
B166979,Fiber Optic,Yes,No,No,Yes,Yes,Yes
B167906,DSL,Yes,No,No,No,Yes,Yes
B169359,DSL,Yes,No,No,No,No,Yes
B174619,DSL,Yes,Yes,No,Yes,No,Yes
B179311,Fiber Optic,Yes,No,No,No,Yes,No
B18063,DSL,Yes,Yes,Yes,Yes,Yes,No
B18085,None,Yes,No,Yes,No,Yes,Yes
B181180,None,Yes,No,No,No,No,No
B182575,None,Yes,No,Yes,No,No,No
B19384,DSL,Yes,No,No,Yes,No,No
B197030,Fiber Optic,Yes,No,No,No,No,No
B198899,Fiber Optic,Yes,No,No,Yes,Yes,Yes
B199888,DSL,Yes,Yes,No,No,No,No
B200191,None,Yes,Yes,No,No,No,Yes
B202167,Fiber Optic,Yes,Yes,No,Yes,No,Yes
B20759,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes
B209742,Fiber Optic,Yes,No,Yes,No,Yes,No
B225501,None,Yes,No,Yes,No,No,No
B225668,DSL,Yes,No,Yes,No,Yes,Yes
B228839,None,Yes,No,Yes,Yes,No,No
B229362,Fiber Optic,Yes,No,No,No,Yes,Yes
B230779,Fiber Optic,Yes,Yes,Yes,No,No,Yes
B239150,Fiber Optic,Yes,No,Yes,Yes,No,No
B239370,Fiber Optic,No,Yes,No,No,Yes,No
B242016,Fiber Optic,Yes,No,No,No,No,Yes
B246395,DSL,Yes,Yes,No,Yes,Yes,Yes
B247549,None,Yes,No,Yes,No,No,No
B248010,Fiber Optic,Yes,Yes,No,No,No,No
B249580,DSL,Yes,Yes,Yes,No,No,Yes
B250093,Fiber Optic,Yes,Yes,No,Yes,No,Yes
B250151,None,Yes,No,No,Yes,No,Yes
B254351,Fiber Optic,Yes,No,No,No,No,Yes
B255311,DSL,Yes,No,No,No,No,No
B25572,DSL,Yes,Yes,No,No,No,No
B256842,None,Yes,No,No,Yes,Yes,No
B260496,Fiber Optic,Yes,No,Yes,Yes,No,Yes
B260505,DSL,Yes,Yes,No,No,Yes,Yes
B263033,Fiber Optic,Yes,No,No,Yes,No,No
B263360,DSL,No,No,Yes,No,No,Yes
B264341,Fiber Optic,Yes,No,No,Yes,Yes,No
B266835,Fiber Optic,Yes,Yes,Yes,Yes,No,No
B269098,None,Yes,Yes,No,Yes,No,No
B269529,Fiber Optic,Yes,No,No,No,No,Yes
B270288,None,Yes,No,Yes,No,No,No
B274609,None,Yes,Yes,No,No,Yes,Yes
B276870,None,Yes,Yes,Yes,No,Yes,No
B286935,None,Yes,No,Yes,Yes,No,No
B290057,None,Yes,No,No,Yes,No,No
B29049,None,Yes,Yes,No,Yes,No,Yes
B293319,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes
B293510,DSL,Yes,Yes,No,No,No,No
B297001,None,Yes,No,No,No,No,No
B300786,DSL,No,No,No,No,Yes,No
B302343,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes
B308070,None,Yes,No,Yes,Yes,Yes,No
B310750,Fiber Optic,Yes,No,No,Yes,Yes,No
B311103,DSL,Yes,No,No,No,Yes,No
B317246,None,Yes,No,Yes,No,No,No
B319628,DSL,No,No,No,Yes,No,No
B323829,None,Yes,No,Yes,No,Yes,No
B325435,Fiber Optic,Yes,Yes,No,Yes,No,Yes
B327796,Fiber Optic,Yes,Yes,No,No,No,Yes
B328912,DSL,No,No,No,Yes,No,Yes
B329338,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No
B334871,DSL,Yes,No,Yes,Yes,No,Yes
B335074,Fiber Optic,Yes,Yes,No,Yes,Yes,No
B340121,DSL,Yes,Yes,Yes,No,Yes,No
B340840,Fiber Optic,Yes,No,Yes,Yes,No,No
B341496,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes
B344400,DSL,Yes,No,Yes,No,No,Yes
B346107,Fiber Optic,Yes,Yes,No,Yes,No,No
B346362,None,Yes,Yes,Yes,Yes,No,No
B352309,None,Yes,Yes,Yes,No,No,No
B356659,DSL,Yes,Yes,Yes,Yes,Yes,Yes
B360850,None,Yes,No,No,Yes,No,Yes
B361009,Fiber Optic,Yes,No,No,Yes,No,No
B36217,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes
B363210,Fiber Optic,Yes,Yes,Yes,No,No,No
B363857,DSL,Yes,No,No,No,No,Yes
B368498,DSL,No,No,Yes,No,Yes,Yes
B368622,Fiber Optic,Yes,Yes,Yes,No,Yes,No
B368985,Fiber Optic,Yes,No,Yes,Yes,No,No
B369070,DSL,Yes,No,Yes,No,Yes,No
B369234,Fiber Optic,Yes,No,No,No,Yes,Yes
B369784,Fiber Optic,Yes,Yes,No,No,No,No
B371130,Fiber Optic,Yes,No,Yes,Yes,Yes,No
B374505,DSL,Yes,Yes,Yes,Yes,No,Yes
B376002,None,Yes,No,Yes,No,No,No
B378434,Fiber Optic,Yes,No,No,Yes,No,No
B381427,Fiber Optic,Yes,No,No,Yes,Yes,Yes
B382760,Fiber Optic,Yes,No,Yes,No,Yes,No
B385712,None,Yes,Yes,Yes,Yes,No,Yes
B387011,None,Yes,Yes,No,Yes,No,No
B388679,DSL,Yes,Yes,No,No,No,Yes
B388820,Fiber Optic,Yes,No,Yes,Yes,Yes,No
B392635,None,Yes,Yes,No,No,No,Yes
B393356,Fiber Optic,Yes,Yes,No,No,No,Yes
B396774,DSL,No,No,Yes,Yes,No,Yes
