customer_id,Timely_Responses,Timely Fixes,Timely_Replacement,Reliability,Options,Respectful,Courteous,Active_Listening
A293164,5,4,5,4,4,3,4,4
A29486,4,2,3,4,4,3,4,3
A295468,3,4,2,4,3,3,4,3
A295954,2,2,3,5,4,4,3,5
A297665,4,4,3,3,4,3,4,3
A299711,5,5,4,3,4,4,3,4
A300601,3,3,3,3,4,2,2,4
A301811,4,4,3,3,5,3,3,2
A304266,4,4,3,2,4,6,5,5
A311758,2,3,4,4,2,4,3,3
A312093,3,3,4,4,4,4,3,4
A31278,2,2,4,5,1,5,4,5
A313674,4,3,3,5,2,4,3,4
A314084,3,3,3,4,2,3,5,4
A316138,4,5,3,3,2,4,4,4
A318319,3,4,3,4,3,3,4,3
A325803,2,2,2,3,4,3,5,3
A327397,4,4,5,5,4,4,3,5
A32952,4,4,4,6,3,4,5,3
A332968,4,4,3,5,3,4,3,4
A34326,5,6,6,5,2,4,6,3
A34728,5,4,5,3,4,5,4,3
A349493,4,5,5,4,5,3,3,3
A35543,3,4,3,3,3,3,3,2
A357267,2,3,4,3,3,2,4,3
A357886,4,4,5,5,2,2,4,5
A362559,5,5,4,2,5,4,3,3
A36623,1,1,3,4,3,3,5,3
A366329,4,4,3,5,3,4,5,4
A367660,3,4,4,2,3,2,4,3
A374706,3,4,3,4,3,2,3,3
A378183,4,4,4,4,2,4,4,5
A378200,4,4,3,4,4,4,3,2
A379980,4,4,2,2,5,3,3,3
A384618,4,4,3,4,2,4,2,4
A385989,3,3,3,4,4,4,4,5
A393225,3,3,3,4,4,2,3,3
A393945,5,4,4,3,5,3,4,3
A403906,5,5,5,3,4,4,5,4
A406844,6,5,4,3,2,4,5,3
A40824,3,3,4,2,5,4,2,3
A410868,5,4,4,3,3,4,2,2
A41212,3,2,3,3,3,3,4,4
A415870,4,3,4,3,5,4,3,4
A417108,1,1,2,2,5,3,1,3
A420422,3,4,2,4,4,3,5,3
A425221,5,4,5,4,4,4,5,4
A430952,3,3,2,5,3,4,3,3
A432414,2,3,4,4,3,2,3,4
A439589,5,4,4,3,2,3,4,4
A442435,3,4,4,5,2,4,5,3
A443954,4,4,5,2,3,4,4,3
A448006,3,3,4,3,3,3,4,2
A448406,2,2,4,2,3,2,3,3
A45605,2,2,3,4,2,4,3,4
A457009,2,3,2,5,2,3,4,4
A458941,3,4,4,4,3,5,4,5
A464657,4,4,3,3,4,4,4,4
A466060,5,4,4,5,3,4,4,3
A466183,5,5,5,3,4,5,5,4
A470957,4,4,3,2,5,5,4,4
A471140,2,2,3,3,3,4,5,3
A471876,3,3,4,4,5,3,3,4
A472924,3,3,3,3,4,2,2,3
A47399,3,4,3,6,3,2,3,2
A477404,4,4,4,4,4,4,4,6
A477627,3,3,5,4,1,5,1,2
A48668,5,5,3,4,3,5,4,4
A486964,4,4,4,2,4,4,5,3
A488962,5,5,5,5,2,4,4,3
A490867,3,2,4,6,2,4,2,5
A49320,2,2,4,2,3,1,2,3
A493340,2,2,3,2,4,3,4,3
A498648,4,4,3,3,3,3,3,3
A500103,2,2,2,5,2,5,4,3
A501629,3,2,3,4,4,4,3,3
A50168,4,4,4,3,4,4,4,4
A504244,3,4,4,5,4,4,3,3
A505732,5,4,4,6,3,5,4,4
A505760,4,5,5,5,4,4,6,5
A506823,3,4,4,3,3,5,4,2
A508226,3,2,3,4,4,1,3,3
A509485,4,3,4,3,3,4,5,2
A511583,2,2,2,3,4,2,2,3
A511604,5,4,4,5,4,3,5,4
A513224,3,3,3,3,2,4,4,5
A516439,5,5,5,5,2,6,5,3
A516936,3,2,2,4,4,3,1,2
A51913,4,4,4,4,3,4,4,4
A519289,3,4,3,3,3,3,4,4
A521063,4,3,4,4,3,4,4,4
A525577,3,3,5,5,3,2,2,2
A525629,5,5,4,1,4,5,4,3
A527793,3,2,2,4,3,2,3,3
A531249,2,3,3,5,4,3,5,3
A53575,3,2,3,2,5,3,1,3
A536604,6,6,5,4,3,4,3,5
A538839,4,4,2,3,4,3,3,3
A539301,5,4,5,3,3,4,4,6
A540097,1,2,1,3,4,3,4,3
A541966,4,5,4,3,4,5,4,3
A544408,5,5,5,5,2,5,4,5
A544585,4,3,3,2,5,3,2,3
A54539,3,2,3,4,4,3,2,3
A546615,2,2,3,2,5,2,3,3
A547802,1,2,2,2,3,2,2,3
A549038,2,3,2,2,3,3,4,3
A551693,4,4,4,4,4,4,4,5
A552277,2,2,2,3,5,3,3,2
A553226,3,3,4,4,3,3,5,3
A553843,4,4,5,5,3,5,4,4
A560329,4,4,3,4,5,3,2,3
A561114,4,4,4,4,4,4,4,3
A564348,7,6,5,3,5,5,3,5
A565557,4,2,3,4,4,3,3,3
A568113,5,4,6,2,5,6,4,4
A568845,3,4,3,3,5,3,3,3
A572964,3,3,2,4,2,3,4,3
A574980,4,2,2,4,4,4,3,4
A577468,2,3,2,4,3,2,3,2
A579005,4,4,3,5,3,4,4,3
A581416,5,5,6,3,3,3,4,2
A583737,4,5,4,4,3,4,5,3
A590798,4,3,3,4,4,4,4,4
A593331,3,3,2,4,3,4,4,4
A595003,3,3,3,4,2,3,2,3
A595310,4,4,2,5,2,3,4,3
A597531,4,3,3,4,2,5,4,3
A599326,2,3,1,3,5,2,3,3
A59966,5,4,6,4,3,5,4,4
A604312,4,4,4,3,3,4,4,4
A605807,4,4,4,3,4,3,4,4
A606860,5,5,4,1,6,4,3,2
A609766,3,2,3,2,4,3,2,4
A609986,3,3,3,4,4,5,5,4
A613026,3,5,4,3,5,3,2,3
A613334,4,3,4,2,4,6,4,5
A615311,2,3,4,5,3,3,3,3
A615789,4,4,3,3,4,3,3,4
A620815,3,3,3,4,6,2,4,4
A626819,3,3,2,3,2,5,4,2
A627705,5,5,5,3,3,4,6,4
A629515,4,5,5,5,4,4,5,4
A631325,2,4,3,5,2,4,4,3
A633603,5,5,5,2,4,3,2,3
A634512,5,4,5,2,6,5,5,4
A638022,6,6,5,3,4,3,4,6
A642624,5,5,5,4,3,4,5,4
A643000,3,4,4,6,3,4,4,2
A647291,4,4,4,4,3,3,4,5
A651095,3,2,4,4,2,3,4,4
A651960,5,4,5,4,4,4,4,3
A652407,4,2,3,3,4,3,4,2
A652420,5,5,3,2,2,5,5,3
A653303,4,4,5,2,4,3,2,3
A65734,5,3,5,4,2,4,3,5
A658164,3,3,3,4,5,4,4,4
A660947,2,3,2,4,4,2,1,3
A661362,4,3,3,3,3,5,5,4
A661671,3,4,3,4,5,1,2,3
A663417,3,4,4,4,2,4,4,3
A665879,2,1,2,4,4,3,3,4
A669802,3,4,3,4,4,4,5,3
A67068,3,3,3,3,4,3,4,3
A671833,3,2,4,3,4,4,4,4
A672602,3,3,2,3,4,4,3,3
A672620,5,4,4,4,3,5,4,5
A687427,4,3,3,4,4,3,3,4
A687783,3,3,2,4,4,3,4,4
A690706,4,3,4,3,4,3,2,3
A695130,3,3,2,4,4,4,4,3
A696580,3,5,3,4,5,3,3,3
A69660,3,4,4,4,3,4,3,4
A703201,3,4,4,4,4,4,5,3
A70661,5,5,3,4,2,5,5,5
A708086,4,4,5,4,4,3,2,3
A708666,5,3,5,4,4,3,3,4
A710226,4,4,3,3,4,3,3,3
A712256,3,3,4,3,3,2,4,3
A712898,5,4,4,4,3,5,3,3
A715491,4,4,3,5,2,4,5,5
A723167,3,3,3,4,4,4,4,4
A723309,7,7,8,4,5,4,5,3
A727077,3,4,5,3,4,3,5,2
A727653,5,4,5,5,2,4,7,4
A733457,3,3,3,5,4,3,5,4
A740543,4,4,4,4,3,3,5,4
A744958,3,3,3,3,4,2,3,2
A745374,4,4,4,3,4,4,5,2
A748930,2,2,3,2,4,1,3,3
A751773,4,4,3,3,5,3,3,4
A752269,2,4,2,4,2,2,4,5
A752890,3,3,3,2,6,2,2,2
A753189,2,3,2,3,4,3,2,2
A756392,5,4,5,5,2,4,5,2
A756452,3,4,3,6,3,5,5,4
A758129,5,5,5,3,2,5,4,4
A759341,4,4,3,4,3,4,4,4
A764334,2,3,2,4,4,2,3,3
A764510,4,4,4,2,5,2,4,4
A764645,3,3,2,2,4,5,3,3
A765321,4,5,4,2,5,2,3,2
A765364,5,5,4,4,4,3,6,4
A766555,3,3,3,4,4,3,4,3
A767144,4,4,4,3,4,5,5,5
A768649,3,2,4,4,2,2,1,3
A771900,3,3,3,3,4,2,3,1
A776577,3,3,3,3,3,2,3,3
A77696,2,2,2,6,2,3,4,4
A78095,3,3,2,4,3,3,4,4
A782700,4,3,4,4,2,5,4,4
A784083,4,4,4,3,5,4,4,3
A78645,4,4,3,3,3,3,2,4
A787794,4,4,4,3,4,4,4,4
A793530,5,4,4,2,3,3,4,3
A793645,3,3,5,1,4,3,3,2
A79548,4,4,4,6,2,4,4,5
A795494,3,4,3,2,3,3,2,4
A795602,3,3,2,4,2,3,3,4
A800117,3,3,3,2,3,4,1,2
A803107,3,4,6,2,4,2,3,4
A81135,5,5,4,4,3,5,4,6
A811650,1,1,2,2,5,2,1,2
A812234,4,3,3,3,2,4,3,3
A818327,3,3,3,5,2,4,5,3
A821790,7,6,6,4,4,5,6,5
A822635,2,1,2,4,2,3,3,3
A822901,3,4,3,4,3,4,4,4
A823740,2,3,5,5,4,4,3,2
A825502,3,3,4,5,3,4,4,4
A829889,4,3,3,4,5,4,2,5
A833360,4,5,3,5,3,4,4,4
A83621,3,4,4,4,3,4,3,3
A840799,6,5,6,4,1,7,4,3
A849397,4,5,4,4,3,4,5,4
A853801,7,6,5,4,4,6,3,4
A854142,2,4,1,4,3,3,3,5
A854984,4,3,3,2,5,3,3,3
A855887,4,2,4,3,5,2,3,3
A857076,3,3,2,5,4,3,2,3
A859738,3,2,4,3,6,2,4,3
A861700,2,3,2,3,3,3,4,2
A863691,3,3,2,4,2,3,5,3
A86912,3,3,6,4,3,3,4,2
A871046,3,4,4,2,6,3,4,2
A873218,3,3,3,4,4,2,3,2
A874816,4,4,5,3,5,3,5,5
A878642,4,4,4,4,3,3,4,5
A878705,2,2,2,3,3,3,3,2
A879207,4,4,5,3,3,5,4,4
A880064,2,2,2,3,3,3,3,3
A880413,2,3,5,2,3,2,4,2
A882675,4,3,3,4,2,5,6,4
A883961,4,4,4,3,3,4,4,4
A885053,5,3,4,4,3,3,5,4
A886067,2,3,2,3,3,2,3,4
A889769,4,4,2,3,2,4,5,4
A899075,3,3,3,3,4,3,4,3
A901418,4,4,3,4,4,4,5,3
A903151,3,2,3,3,4,3,1,3
A912311,4,4,6,3,3,3,4,3
A912671,4,4,3,4,3,4,4,5
A919620,3,5,5,3,6,3,3,5
A923883,4,4,5,4,4,3,4,4
A934321,3,5,4,5,5,2,2,3
A936347,5,5,5,4,4,5,4,3
A940663,3,4,4,3,3,3,3,2
A940721,5,5,5,4,3,4,4,2
A943825,3,3,3,2,5,2,2,3
A944069,5,6,5,2,4,5,4,4
A945949,5,3,4,3,3,3,3,4
A947132,6,4,5,3,4,6,5,4
A948573,3,3,5,4,4,4,5,3
A948817,4,3,4,3,4,3,5,4
A951002,3,4,3,4,4,3,3,2
A953728,3,4,4,3,2,3,4,2
A955987,3,2,3,4,5,3,3,4
A957431,3,4,2,3,4,2,2,4
A959352,3,3,3,4,4,3,3,5
A95964,3,3,2,3,2,5,3,4
A96078,4,4,4,4,3,4,5,4
A962670,3,3,3,2,3,3,4,4
A968154,4,3,4,2,5,4,2,4
A972815,2,3,4,4,2,5,3,3
A975552,5,4,6,3,4,4,5,4
A977827,1,1,3,3,3,3,3,3
A978012,3,3,2,2,4,1,3,2
A97903,3,3,3,4,2,5,4,3
A980855,4,4,4,3,4,4,4,2
A981600,5,5,4,4,4,4,5,5
A984966,5,3,5,3,3,2,4,6
A985093,4,3,2,1,3,4,4,3
A985460,3,3,2,4,3,2,3,4
A987044,2,3,3,3,4,3,1,1
A988584,2,1,3,3,4,3,1,2
A991604,2,2,4,4,4,2,3,3
A993007,3,3,3,5,3,2,3,4
A994697,5,4,4,4,5,2,3,4
A995277,4,4,4,3,4,4,3,5
A995509,4,4,3,3,4,3,3,4
B04330,3,3,3,4,3,3,4,3
B102250,4,5,3,6,4,5,4,4
B105213,2,2,1,5,4,3,4,3
B110173,3,2,2,3,4,3,2,3
B110246,3,3,2,2,5,2,3,4
B110833,3,4,3,2,4,2,1,3
B113838,4,3,3,5,2,4,3,5
B118468,3,3,3,4,3,4,3,3
B118484,4,4,4,4,3,4,5,3
B118954,5,3,5,5,2,4,5,3
B124449,3,3,3,5,3,5,3,4
B12658,3,4,4,3,5,4,4,4
B128794,4,4,4,3,2,5,3,3
B129670,4,4,4,4,3,4,5,5
B133081,3,4,5,3,3,4,5,4
B13324,3,3,5,5,1,4,5,6
B133896,4,3,4,5,3,5,4,3
B133945,4,4,3,5,3,4,4,3
B136240,3,3,3,3,5,2,4,3
B140147,4,5,5,4,3,4,3,3
B142422,3,3,4,4,2,3,3,3
B143750,3,3,3,4,3,3,2,4
B146281,4,3,2,2,5,2,2,3
B14813,3,3,3,2,3,4,4,3
B148329,4,4,4,6,2,5,4,3
B149716,5,4,4,4,3,3,3,3
B154541,4,3,2,5,3,3,3,5
B15517,2,3,2,1,5,4,2,2
B163052,4,4,4,4,2,3,4,2
B164687,2,3,3,3,4,4,3,5
B165487,3,2,3,4,1,4,4,2
B166979,3,3,5,4,4,4,2,4
B167906,3,3,4,4,4,3,3,3
B169359,3,3,3,3,4,3,2,3
B174619,3,2,4,2,3,1,2,2
B179311,4,5,4,2,2,4,6,2
B18063,5,4,4,4,3,4,4,4
B18085,4,4,4,6,2,2,3,3
B181180,3,3,4,4,3,4,4,5
B182575,3,4,3,3,3,4,3,4
B19384,4,4,3,1,5,3,2,1
B197030,5,4,4,5,3,5,4,6
B198899,4,3,3,4,3,4,3,4
B199888,4,3,3,3,3,4,3,4
B200191,3,3,2,4,4,4,4,4
B202167,3,3,4,5,2,4,4,3
B20759,2,3,4,5,1,4,5,4
B209742,5,4,5,4,1,4,5,5
B225501,4,3,5,5,3,3,2,3
B225668,5,4,4,3,3,4,4,3
B228839,5,3,4,4,3,2,4,3
B229362,3,2,3,4,3,3,2,3
B230779,3,3,3,4,3,3,4,3
B239150,3,3,2,3,5,2,4,3
B239370,3,3,4,1,5,2,2,2
B242016,4,5,4,4,3,3,4,3
B246395,5,5,7,3,5,5,4,4
B247549,3,3,4,5,2,4,4,3
B248010,5,4,5,3,4,4,3,5
B249580,4,4,3,2,3,4,5,4
B250093,3,4,2,3,4,4,3,1
B250151,3,4,3,4,2,6,3,3
B254351,4,3,4,3,5,2,2,2
B255311,3,3,2,4,4,2,4,3
B25572,2,2,3,2,3,2,2,2
B256842,3,2,3,4,4,3,4,2
B260496,3,3,4,3,3,4,4,3
B260505,5,5,3,4,2,3,4,4
B263033,3,4,4,2,3,4,5,5
B263360,2,3,4,4,3,3,3,4
B264341,2,1,3,4,2,3,4,3
B266835,3,3,3,4,5,2,2,1
B269098,4,3,3,3,4,3,2,3
B269529,3,3,3,3,2,4,4,3
B270288,5,5,4,4,3,4,4,3
B274609,5,3,5,4,5,2,3,3
B276870,3,4,3,4,3,2,3,3
B286935,4,5,4,3,4,4,4,3
B290057,4,5,3,4,4,3,3,3
B29049,5,6,5,3,4,4,5,4
B293319,3,4,3,4,3,5,3,3
B293510,4,5,4,4,3,4,5,3
B297001,5,4,4,2,5,3,4,4
B300786,4,3,4,4,3,3,4,3
B302343,4,5,3,3,3,6,5,6
B308070,5,5,5,4,4,4,4,2
B310750,4,6,4,2,4,4,4,4
B311103,2,2,2,3,4,3,3,3
B317246,3,2,3,1,5,2,3,3
B319628,3,3,3,4,3,2,3,4
B323829,4,4,4,3,5,3,4,6
B325435,3,3,3,2,4,3,2,4
B327796,2,3,2,5,4,3,4,4
B328912,3,2,5,4,4,3,3,4
B329338,3,4,3,3,4,4,3,4
B334871,5,3,4,4,2,3,4,4
B335074,4,4,5,4,1,5,4,6
B340121,3,3,4,3,5,3,3,4
B340840,4,4,4,3,3,3,3,4
B341496,5,4,5,3,5,3,4,3
B344400,2,2,2,5,4,2,4,2
B346107,3,3,3,6,2,3,5,4
B346362,5,5,6,4,4,4,4,4
B352309,3,4,3,3,2,4,4,2
B356659,3,4,3,4,2,4,4,5
B360850,3,3,3,5,4,4,4,2
B361009,3,3,1,3,4,3,3,2
B36217,4,4,4,4,3,6,4,3
B363210,4,4,2,4,4,4,5,3
B363857,3,3,3,4,4,3,3,4
B368498,4,5,4,3,4,4,3,5
B368622,3,3,3,3,4,2,2,4
B368985,2,2,2,5,3,3,1,3
B369070,3,3,3,4,3,4,3,4
B369234,3,2,3,3,4,3,2,3
B369784,3,3,4,3,5,2,3,1
B371130,4,3,3,4,3,5,3,3
B374505,6,5,5,3,3,5,4,7
B376002,4,4,5,4,4,5,3,2
B378434,4,4,4,2,5,3,4,4
B381427,5,4,4,1,4,2,3,3
B382760,3,3,3,4,3,2,4,3
B385712,1,1,3,3,4,3,2,5
B387011,2,2,3,3,4,2,2,3
B388679,6,7,4,4,3,4,4,4
B388820,3,3,2,4,1,4,4,4
B392635,4,4,2,2,4,3,2,2
B393356,2,2,2,4,3,2,5,4
B396774,5,3,4,5,3,4,4,4
B39992,5,4,4,2,4,4,4,4
B402928,4,3,2,4,4,4,3,4
B406551,4,4,3,2,4,2,5,5
B407189,4,3,5,1,3,4,3,5
B41405,3,3,3,3,4,3,2,4
B417357,3,2,2,3,4,3,3,2
B419356,4,5,4,4,4,5,5,4
B419814,5,5,5,6,3,5,4,4
B422289,3,3,3,4,3,4,4,4
B424640,4,4,5,4,4,5,3,5
B424659,4,4,5,3,4,2,2,3
B424726,5,5,4,2,5,3,4,3
B428349,4,3,3,2,5,3,2,3
B428830,2,2,1,2,4,1,2,1
B431778,2,2,2,3,5,3,3,3
B440428,6,5,6,5,3,4,5,4
B44052,1,1,2,3,4,2,2,3
B442664,5,4,4,4,4,4,5,5
B442835,4,3,4,4,3,3,3,4
B442948,4,4,5,3,4,5,4,2
B446255,5,5,4,3,5,4,4,4
B447151,4,3,5,3,4,4,3,2
B448076,4,4,5,3,5,3,3,4
B450091,4,4,4,4,3,3,2,4
B450609,3,3,3,2,5,2,2,1
B451399,3,3,2,3,4,4,4,2
B451989,6,5,5,3,4,4,3,4
B455335,4,5,3,4,2,4,4,5
B464898,4,4,3,4,4,5,4,4
B465001,2,5,4,2,4,2,2,3
B46761,4,4,3,5,2,5,4,3
B468086,3,3,3,3,4,2,4,4
B469043,4,5,6,2,5,3,5,2
B471691,3,3,4,4,3,4,4,5
B475008,1,2,2,3,2,3,2,4
B475242,2,4,3,4,5,2,3,3
B47880,4,4,4,3,4,4,3,2
B479208,3,4,4,3,5,2,4,3
B481474,2,3,3,4,3,4,4,4
B482277,4,3,3,3,4,4,4,4
B483014,4,3,4,5,2,4,5,5
B483116,2,3,2,5,3,2,3,2
B488148,3,3,4,5,4,2,4,4
B490537,3,4,4,5,3,3,5,3
B491501,4,3,5,5,2,4,5,5
B492262,2,4,3,5,4,4,3,3
B49281,4,4,3,3,3,4,4,4
B499886,4,4,4,3,4,4,3,4
B506027,3,4,4,6,2,4,4,3
B507028,4,5,5,2,4,3,4,3
B507395,3,4,2,4,2,5,5,4
B507626,4,4,4,4,4,5,5,5
B50784,3,5,3,4,4,2,3,4
B508012,3,2,4,4,3,2,2,3
B511896,4,4,4,6,2,3,4,4
B512858,4,4,4,3,3,3,3,5
B514157,2,3,3,4,2,3,4,3
B518186,3,3,2,3,5,3,3,2
B518299,3,4,4,4,3,3,3,4
B51907,4,3,3,3,3,3,4,3
B520911,5,4,4,2,4,3,3,2
B522238,5,5,5,2,6,4,3,3
B525987,4,3,4,3,2,4,4,3
B528021,4,4,4,2,3,4,5,4
B528928,6,5,6,4,3,6,5,5
B530923,3,4,2,3,4,3,3,4
B536861,4,5,4,4,4,3,4,5
B538877,4,3,3,4,4,4,4,4
B539992,4,3,3,3,2,4,5,3
B541034,2,2,2,3,5,2,3,4
B541413,4,4,5,3,5,3,3,5
B541454,2,2,2,3,3,2,4,4
B545599,3,3,4,4,4,4,4,3
B547610,4,4,4,1,5,3,4,3
B548061,5,5,4,4,3,4,4,4
B548800,4,6,4,2,4,3,4,3
B552951,3,4,4,4,4,3,1,4
B561228,3,3,3,4,2,5,5,4
B561835,3,4,2,3,3,5,4,4
B562858,5,5,5,3,5,5,3,5
B564637,4,4,5,2,4,4,2,4
B565042,3,4,3,4,3,2,3,3
B565569,4,3,5,4,3,3,3,4
B568158,3,1,4,5,2,2,5,3
B572303,4,3,5,4,3,5,4,4
B572550,4,3,4,3,4,4,3,3
B572947,4,5,3,3,4,4,4,3
B583161,2,2,2,2,3,3,3,2
B584202,3,4,3,5,3,4,5,5
B584686,4,4,4,2,4,3,3,3
B585942,4,4,4,2,6,5,3,3
B586243,3,3,3,3,4,2,3,3
B591314,3,4,3,2,4,3,5,3
B593910,5,4,5,2,5,4,5,3
B597868,3,4,2,5,4,4,3,3
B59804,1,2,2,4,3,3,1,2
B599924,3,3,3,5,2,4,4,5
B601895,3,3,3,3,4,4,4,1
B607212,2,2,3,4,3,3,4,3
B609039,5,4,3,3,3,4,6,4
B60959,4,4,4,3,3,4,4,5
B609623,4,5,5,6,2,4,3,6
B609739,3,3,3,3,3,4,4,3
B614129,6,4,5,4,3,4,4,3
B614851,4,3,3,4,2,3,2,3
B617350,4,4,4,3,4,4,2,3
B619070,1,1,2,4,3,2,3,4
B619322,3,3,3,5,2,4,4,3
B626230,4,3,4,3,5,5,3,4
B627843,2,3,3,3,4,3,4,3
B63345,4,5,3,3,3,4,2,4
B635354,4,2,3,1,6,3,3,6
B639946,2,3,2,3,3,2,4,3
B641384,3,4,5,3,4,5,4,3
B643657,3,4,4,2,4,3,3,2
B644010,5,6,5,4,4,5,4,4
B644120,3,3,2,3,1,5,6,4
B651104,4,3,3,3,4,3,3,2
B651452,4,4,4,5,2,4,4,4
B652550,5,4,4,1,6,5,4,4
B655777,3,3,3,3,3,4,4,3
B661586,4,4,5,4,3,3,3,3
B66617,3,3,2,3,4,3,3,3
B66821,5,5,4,2,4,5,4,4
B66948,2,3,3,4,3,4,3,3
B671396,4,4,4,3,4,4,4,4
B674121,4,4,2,1,5,2,3,2
B674702,3,2,3,4,4,2,2,4
B675004,2,3,3,3,3,3,2,2
B675944,3,3,4,2,4,1,2,4
B677068,3,3,5,4,1,5,5,3
B678171,3,3,2,3,5,2,2,4
B680094,2,3,3,4,1,4,5,3
B681069,3,2,3,5,4,4,4,4
B682234,3,2,4,4,2,5,4,3
B687215,4,4,3,5,2,5,4,5
B68757,4,4,5,4,2,4,4,4
B689525,4,5,4,4,3,4,5,2
B692438,3,4,3,3,4,2,4,4
B700580,4,4,4,3,2,4,3,4
B705971,3,3,3,6,1,4,4,4
B707938,5,3,5,5,3,3,3,5
B708960,2,3,2,3,5,3,2,4
B711602,2,1,3,4,4,1,2,3
B713028,4,4,3,5,4,4,5,4
B714519,4,4,3,2,4,4,2,2
B717178,3,4,3,4,4,3,3,5
B717434,5,5,5,2,4,4,5,5
B724639,5,4,3,4,4,4,3,4
B724894,3,3,2,2,3,3,4,6
B72873,3,4,4,2,4,4,3,4
B733858,3,3,2,4,3,4,4,4
B738673,2,2,2,3,5,2,3,2
B738725,2,2,2,3,4,2,1,3
B739624,4,4,4,2,3,6,3,4
B740110,4,3,3,4,2,3,3,3
B745310,5,4,3,4,3,5,3,4
B749266,3,3,3,5,3,4,3,4
B74964,5,6,4,2,5,3,3,3
B749928,4,3,4,3,4,3,3,4
B75095,4,3,4,6,2,4,5,3
B75335,2,3,2,3,4,3,5,2
B754647,4,3,4,4,3,3,3,4
B755053,3,3,3,3,2,4,4,4
B756017,2,3,3,2,5,2,4,3
B758777,5,4,5,4,4,3,5,5
B759427,3,3,4,2,3,3,2,3
B770701,2,3,3,2,5,2,3,3
B773288,2,2,2,4,3,4,3,2
B773959,2,1,1,5,3,4,5,2
B782212,2,4,4,2,4,2,2,2
B782897,3,3,3,3,5,2,2,3
B785760,2,3,3,2,5,2,4,2
B786773,4,3,4,3,5,3,1,4
B788347,5,5,4,4,4,4,3,4
B789652,3,4,3,4,1,6,3,3
B79192,5,4,5,1,2,4,3,4
B794135,3,2,2,5,2,3,3,3
B796987,4,5,4,4,2,5,5,4
B800553,3,4,4,4,3,3,4,4
B803995,3,3,2,4,2,3,3,2
B813081,2,3,2,3,2,3,4,3
B813452,2,3,2,2,4,2,1,1
B813556,4,4,5,3,5,2,2,4
B816555,4,4,4,3,4,4,4,4
B817366,4,4,3,4,2,3,4,3
B824807,2,2,3,2,4,3,3,1
