customer_id,lat,lng,population,children,age,income,marital,churn,gender,tenure,monthly_charge,bandwidth_gp_year,outage_sec_week,email,contacts,yearly_equip_faiure,techie,port_modem,tablet,job_id,payment_id,contract_id,location_id
V847470,37.62326,-120.99637,50079,0,63,31659.3,Married,Yes,Female,15.78214958,194.966286,2070.376729,13.52284721,13,1,0,No,Yes,No,39,1,1,8149
F721878,34.90636,-78.98944,7249,2,60,44142.81,Separated,Yes,Male,2.303331273,202.682861,882.0985933,9.831166695,16,3,0,No,No,No,311,4,3,4377
F487435,35.2091,-89.50332,9463,3,61,39262.14,Widowed,No,Female,17.10995632,152.490739,1833.0967,9.57470568,11,1,0,Yes,Yes,No,208,1,3,1538
B561228,33.84469,-86.6974,3177,3,23,19494.75,Divorced,Yes,Male,12.80615845,149.944668,1954.080809,10.92246098,10,1,0,No,Yes,No,71,2,1,6937
X325271,41.83594,-88.5206,69,4,38,39624.21,Never Married,No,Male,20.45390977,184.978458,2330.319383,12.06889188,14,0,3,No,No,No,145,1,1,3419
I282896,39.96636,-83.01286,14440,3,30,45714.47,Divorced,No,Male,2.415991977,127.495766,594.1054279,6.984819996,18,1,0,No,No,Yes,276,1,3,5358
I367206,42.96153,-94.64179,381,3,52,27442.03,Widowed,No,Male,6.652298992,124.964303,713.0633088,9.372975594,16,1,1,No,No,No,165,3,1,2453
N37182,45.10333,-67.47223,2193,2,68,79699.62,Divorced,No,Male,8.543717478,149.948316,945.3802928,7.109002592,9,0,0,No,Yes,No,236,3,2,5959
U644626,39.08339,-84.02314,9434,3,75,28520.32,Widowed,Yes,Female,5.770390256,162.511928,870.76398,13.74777955,15,1,0,No,No,Yes,231,2,1,5680
A766555,29.75675,-81.30311,29568,1,77,12558.83,Separated,Yes,Male,4.157658837,92.455141,774.2937069,9.767668044,12,1,0,No,No,Yes,145,1,1,2768
V54032,36.00209,-108.62285,3089,1,47,8762.23,Married,Yes,Female,10.40566091,222.649979,1506.446527,15.8626095,15,0,1,No,Yes,No,472,4,1,4554
Z301326,41.7812,-83.48594,5652,0,70,43882.72,Widowed,Yes,Female,1.392421597,139.981577,419.0508708,14.73616645,12,0,0,No,Yes,No,570,3,1,7167
J887250,44.24718,-72.74137,1716,3,20,10482.52,Separated,Yes,Female,1.430386349,200.132293,1259.415493,13.43558029,13,2,0,Yes,No,No,107,1,2,7569
Z686376,39.04373,-77.04224,52484,4,69,33442.79,Never Married,Yes,Male,5.425864884,257.651257,1745.125956,10.61771118,18,1,0,No,No,Yes,498,2,3,4867
L357432,43.11988,-75.32875,11268,9,45,43383.54,Married,No,Male,11.08287797,230.105118,1795.465729,6.613070806,14,0,0,No,Yes,No,31,2,3,8562
V899967,41.30608,-84.56989,1765,0,40,21793.88,Never Married,No,Female,3.586184954,147.489301,492.4771472,4.450171647,13,2,0,No,No,Yes,171,3,3,8189
G571225,46.5512,-123.32437,680,6,82,51960.51,Divorced,Yes,Female,4.727388465,230.105118,1013.993166,8.774646693,9,0,0,No,Yes,Yes,611,3,1,6465
S381541,46.43517,-86.01334,136,5,74,25942.1,Separated,Yes,Male,20.89923386,174.958118,2680.762173,11.13156721,8,1,1,No,No,No,73,3,1,3673
R195593,40.73772,-88.28785,1517,4,69,11211.59,Widowed,Yes,Male,3.471329958,267.664655,1081.814362,5.540788887,15,1,0,No,Yes,No,314,4,2,4705
I327596,42.28109,-84.75184,14103,1,52,8283.29,Never Married,Yes,Male,5.478588204,162.483267,1209.961168,13.80362698,11,0,1,No,Yes,No,420,4,1,6654
U790894,41.63306,-72.45472,6394,2,26,10114.81,Never Married,Yes,Female,3.312991809,229.993134,897.5919144,16.31017089,16,1,1,No,Yes,No,365,2,1,630
O739489,41.10336,-74.68407,5059,1,25,36229.21,Never Married,No,Female,7.161561527,140.00128,1340.930156,9.447065309,9,2,0,No,Yes,Yes,572,3,2,4095
I958127,38.93845,-76.99317,20450,1,66,25397.44,Divorced,No,Female,9.847563364,184.964681,1113.993679,16.84100845,12,1,0,No,Yes,No,410,2,3,7838
Z666770,40.37305,-75.2041,2123,1,72,50336.5,Divorced,No,Male,16.04202196,147.473844,1530.10769,7.972937227,10,1,1,No,Yes,No,184,3,3,8555
X711438,40.02145,-74.06183,1164,3,21,38211.37,Divorced,No,Female,9.179779682,172.457857,1310.137419,11.42906608,12,1,0,No,No,No,147,4,1,5160
U369541,40.26608,-78.45782,23,3,55,52887.26,Married,No,Male,3.002844144,107.481989,892.8964931,8.06137096,16,2,0,No,Yes,No,462,3,1,2858
S896111,34.35204,-97.25336,895,4,41,12003.33,Divorced,Yes,Male,3.924254455,255.141716,1125.581944,12.54780492,11,1,2,No,Yes,No,35,2,3,4899
K227200,40.52449,-79.08432,6699,4,32,24090.62,Never Married,No,Male,18.55959629,192.456745,2016.710031,8.255565152,13,0,0,No,Yes,Yes,450,3,3,8581
E818912,40.7955,-73.92968,35743,0,22,15137.93,Never Married,Yes,Female,8.798394712,242.632554,1412.736809,13.156514,6,0,0,No,Yes,No,472,2,3,723
Y490834,46.07835,-88.03348,320,2,44,54458.38,Divorced,Yes,Female,10.377366,245.174977,1710.689671,10.58349704,5,1,0,No,Yes,Yes,133,3,1,2489
B609739,40.6998,-89.61143,7870,2,23,132116.33,Divorced,Yes,Male,22.25746016,184.964681,2384.885909,12.50184778,11,1,0,No,Yes,No,71,1,1,4577
E687638,48.68497,-122.19692,861,3,43,37358.13,Never Married,Yes,Female,9.427146079,195.006206,1213.940165,9.750038902,11,1,0,Yes,No,No,39,2,1,5839
E492264,35.10444,-85.17661,15364,1,86,26534.16,Separated,No,Female,7.760290062,104.962874,740.010722,7.868660851,11,2,2,No,Yes,No,349,1,3,5408
W255321,47.77527,-99.85,2589,2,84,76430.83,Married,No,Female,11.56938439,92.488023,897.9716153,12.43563329,14,0,1,No,No,Yes,247,3,1,4437
S72442,33.08977,-86.06138,4901,2,62,4662.37,Separated,Yes,Female,3.343811019,184.979684,1026.387172,8.957166926,13,3,0,No,Yes,No,568,1,1,4102
O845020,35.73451,-80.20925,39649,5,68,43820.85,Divorced,Yes,Female,7.338869531,187.656013,1234.244324,8.015021713,12,1,0,No,Yes,No,299,2,1,1602
D805597,32.6644,-91.19645,456,1,59,38391.55,Never Married,No,Female,5.486534225,149.962093,727.3731845,4.210347704,8,0,0,No,No,No,170,3,1,5152
R189303,42.47954,-94.75105,94,0,31,44137.6,Separated,Yes,Female,1.55278221,169.944668,452.8721504,11.13960534,6,0,0,Yes,No,No,174,2,2,5162
N142854,40.95947,-99.37702,315,0,51,14364.65,Widowed,Yes,Male,12.07970325,160.00128,1296.674543,9.03738856,11,2,0,No,Yes,No,319,4,1,2494
F522569,37.44262,-81.57762,4969,1,58,62359.91,Separated,No,Female,13.98666226,129.962093,1840.628269,10.91594785,11,1,1,No,No,No,290,4,2,5707
L384793,29.38147,-95.24205,46869,1,73,82634.86,Married,Yes,Male,9.563362997,114.950905,1324.330108,8.387624096,11,0,1,No,No,No,344,3,1,5473
C101444,34.49127,-120.08222,58431,1,33,15690.25,Widowed,No,Female,6.732948946,142.515576,958.1397059,11.4487514,11,0,1,No,No,No,465,4,3,6162
E987442,42.68864,-87.82515,26182,1,58,14568.7,Separated,Yes,Male,15.72071086,220.14775,1868.864027,10.22013704,15,2,0,No,Yes,No,497,2,3,7104
L54611,32.12693,-83.06218,694,0,49,29207.46,Never Married,No,Female,7.233605493,124.97808,676.712908,8.425458142,9,1,0,No,No,No,61,3,3,4655
L85018,35.3619,-95.26371,3093,1,26,55319.23,Never Married,No,Female,2.871017037,164.964681,1086.990308,8.386280619,12,1,0,No,No,Yes,198,4,2,4590
O942919,40.37342,-89.52646,2765,1,25,81831.49,Widowed,No,Male,2.344875382,194.976769,704.7540406,9.565924291,10,3,0,No,Yes,No,502,3,1,3791
I167253,41.37478,-76.03486,3757,0,42,100076.65,Separated,Yes,Female,7.960490246,152.455519,1416.444695,10.79349982,14,3,0,No,Yes,No,120,4,1,2611
R110564,34.088,-109.3232,4938,1,81,69965.65,Widowed,No,Male,12.25062113,92.5018,1095.950634,6.081975067,15,0,0,No,No,Yes,432,4,1,3083
M278354,36.20782,-77.08433,3761,1,43,34883.69,Divorced,No,Female,9.634946079,127.488728,1083.610268,13.55065547,13,0,0,Yes,No,Yes,261,3,1,7218
W604879,38.29793,-120.62131,1851,2,63,45634.2,Never Married,No,Male,7.916533093,184.963371,1570.641337,9.470419821,14,1,0,No,Yes,No,161,1,3,6711
X345797,42.1295,-87.92197,38476,3,70,10964.73,Married,Yes,Female,4.471254161,265.146969,1007.425553,6.194985909,11,0,1,No,Yes,No,105,1,1,4504
N189653,37.82945,-94.33173,13547,1,78,22365.28,Widowed,Yes,Male,10.79028074,207.609354,1323.028419,10.80393657,19,1,0,No,No,No,525,1,1,140
M562102,33.45204,-101.64305,7801,0,48,52636.6,Separated,No,Male,12.24190682,152.462354,1808.730555,7.903964267,17,0,1,No,Yes,Yes,284,3,1,7271
X67911,44.48072,-105.68542,17823,1,63,19048.13,Separated,Yes,Female,2.203859443,200.132293,1120.241472,11.27443693,18,2,1,Yes,Yes,No,14,2,1,6149
O834546,43.22975,-123.23433,20269,4,60,42784.82,Married,Yes,Female,23.92132231,212.655686,2676.789803,6.129509309,12,0,0,No,Yes,Yes,593,3,2,499
I493092,41.31414,-81.74522,30225,0,87,77996.88,Divorced,Yes,Male,3.7311787,255.119794,1268.086909,7.969277912,17,0,0,Yes,Yes,No,555,1,2,5894
H787644,40.25609,-81.02123,5760,3,54,47507.3,Married,No,Female,7.980015371,134.950905,822.6771666,4.368120492,9,0,0,No,Yes,No,420,1,3,1670
N582710,48.43505,-104.4389,61,3,35,7724.73,Divorced,Yes,Male,9.190009376,255.137219,1577.915603,6.258356398,9,0,1,No,Yes,No,105,3,1,3135
T689606,32.89431,-117.08013,34359,1,70,1509.52,Never Married,Yes,Male,2.378630018,214.966286,648.7471776,12.92303286,16,0,0,No,No,No,359,1,1,7317
E330599,33.9381,-118.3323,24693,2,67,81124.71,Married,Yes,Female,5.43464555,270.160419,1648.102673,12.43301273,13,0,0,No,Yes,Yes,562,3,2,7986
C641592,38.6184,-77.62493,4235,4,46,11795.57,Widowed,Yes,Female,1.092361222,200.165175,768.0874545,7.607663559,11,0,0,No,No,No,205,3,3,7268
E24772,36.94686,-86.60235,2193,1,50,74794.84,Never Married,No,Male,20.13981517,149.937833,2426.030626,7.442789019,10,2,1,No,No,No,409,1,3,5929
A889769,39.82437,-90.36129,273,1,24,19038.78,Never Married,Yes,Female,24.64873861,240.114868,2660.503932,13.04429298,18,1,0,No,No,Yes,41,4,1,2853
G391761,45.98881,-94.37486,14557,0,20,79167.77,Divorced,No,Male,9.677739656,127.495766,1129.549713,14.89762162,17,0,0,No,No,Yes,429,2,1,7751
A606860,28.57725,-81.39726,17653,1,29,37428.26,Married,Yes,Female,9.82814183,187.609354,1771.286466,13.79387475,13,2,1,No,Yes,No,36,3,2,1558
E186097,39.9883,-79.99619,285,0,31,45148.38,Divorced,No,Male,7.832238337,169.992756,943.3391244,15.66367593,6,1,0,Yes,Yes,No,308,2,1,6086
I627613,46.07835,-88.03348,320,5,72,74855.47,Separated,No,Female,19.45250317,192.456745,1907.226083,8.513410306,13,3,0,No,Yes,No,53,4,3,415
Z188641,37.40057,-85.72074,2863,4,71,45323.86,Divorced,No,Male,14.34766616,120.004928,1885.939118,8.265002035,10,1,0,No,No,Yes,291,2,1,2755
A740543,38.65158,-97.41275,1206,2,32,71596.14,Divorced,No,Female,2.257358355,195.006206,631.7435653,8.6026551,11,0,0,No,Yes,No,374,1,2,2684
W681476,38.75669,-77.0929,35279,0,33,10389.95,Never Married,No,Male,2.358129018,139.95684,562.6095219,6.03993035,15,1,0,No,No,No,537,2,2,5304
G842176,40.1613,-77.86247,1049,3,67,19657.14,Widowed,No,Male,4.650578623,114.983787,593.8572264,14.6040829,12,3,0,Yes,No,No,552,1,1,3878
Z852663,41.77576,-87.66912,32203,0,66,27827.03,Divorced,Yes,Female,3.721772616,207.638588,777.3060718,7.274007029,13,1,1,No,Yes,No,293,3,1,7138
C73741,41.5865,-73.03305,25576,4,21,15609.05,Separated,Yes,Female,3.76663012,187.609354,1393.202392,8.913898759,12,4,0,No,Yes,No,401,3,1,5128
W258972,40.54621,-120.23999,319,0,61,19815.63,Never Married,No,Female,4.151256695,134.950905,393.6524652,11.59313893,13,0,2,No,Yes,Yes,57,1,2,4303
G491883,36.11785,-79.89432,55519,0,75,58482.9,Separated,Yes,Female,2.188918771,192.470522,409.7486664,8.294186076,13,0,0,No,No,No,103,4,1,6902
C302549,41.83778,-71.31735,15210,0,63,41656.53,Widowed,Yes,Female,13.85488928,222.628057,2138.107161,15.19664016,9,1,0,No,Yes,Yes,605,4,1,4392
K581313,41.83849,-84.76277,3499,0,68,115510.46,Separated,No,Female,3.273341151,162.468917,443.984031,5.083995994,3,1,0,No,Yes,No,166,3,3,3058
T46150,32.48494,-93.73255,14479,2,32,15841.19,Never Married,Yes,Male,19.75096265,159.979358,2481.385603,6.942719201,7,1,1,No,Yes,No,187,3,3,7392
B260505,28.32589,-82.32911,4654,0,76,81127.41,Never Married,No,Male,18.38404445,184.979684,2233.567181,9.834012571,7,1,0,No,No,Yes,118,4,3,2480
W877056,32.78137,-96.87917,26320,0,29,24270.88,Divorced,Yes,Female,4.672610857,245.145743,1158.91369,11.0596826,13,0,0,No,No,No,1,2,1,3994
M478246,40.57234,-87.80962,35,0,83,54466.33,Married,No,Female,6.796299371,124.97808,529.40733,8.834079073,17,0,1,No,No,No,386,3,1,6069
N417817,40.97003,-87.59935,521,10,23,64816.84,Divorced,Yes,Male,12.97632235,187.484705,1956.7337,5.271228601,14,1,1,No,No,No,167,4,1,7253
R180138,35.07431,-78.88358,17600,5,80,103311.26,Never Married,No,Male,20.31163945,162.500692,2056.386979,9.394961367,15,1,0,No,No,No,100,4,1,7160
N931384,48.36433,-102.42437,3324,0,20,40211.04,Never Married,No,Male,6.998814446,182.467607,1067.373076,14.4754365,11,1,1,No,No,No,356,3,2,7951
O967373,33.42521,-86.67144,55122,0,69,58077.38,Separated,Yes,Male,14.46288204,222.660939,1806.135733,10.68311773,12,1,1,No,No,No,434,2,1,8546
G695985,37.58745,-87.30164,4038,1,32,43466.35,Never Married,No,Male,11.13472066,182.467607,1397.701335,13.79409442,10,1,0,No,No,No,307,1,2,888
P33478,40.67637,-73.84441,31927,0,53,23289.77,Divorced,Yes,Female,2.542296644,220.161527,808.4305471,12.40165307,19,1,0,No,No,Yes,214,4,1,4434
K100436,39.00049,-80.20387,19904,2,25,49158.49,Separated,No,Male,17.22596021,169.937833,1886.531937,10.24782033,9,1,0,No,No,No,510,3,3,271
L475907,38.76701,-94.25448,13000,0,69,3805.84,Divorced,Yes,Male,22.79214163,204.963371,2294.781131,14.86100819,16,0,2,No,Yes,No,637,4,1,3111
A78095,41.07317,-96.83986,1444,3,71,52616.27,Widowed,Yes,Male,3.823689744,204.963371,826.3438621,6.716953195,10,2,1,No,No,No,192,3,1,2021
X742990,41.26302,-73.94368,2158,3,53,30550.42,Widowed,Yes,Female,10.77094687,245.128318,2072.564168,8.124258176,18,1,0,No,No,No,407,2,1,2075
P347346,38.61776,-86.61282,1800,2,56,12154.01,Divorced,Yes,Prefer not to answer,13.08671185,172.473314,1436.793746,14.60903837,11,0,2,No,No,Yes,229,1,1,2549
O235183,32.29188,-100.21075,30,0,42,30649.31,Married,Yes,Male,14.76468813,172.456745,1963.332683,12.65015936,9,2,2,No,Yes,No,523,1,1,6921
R776311,34.79657,-85.67879,3682,3,33,31417.33,Married,Yes,Male,9.473091121,194.976769,1324.164906,12.0281501,14,0,0,No,No,No,23,3,1,1810
C25146,38.85433,-77.47715,41733,1,47,55861.19,Divorced,No,Male,5.197446331,137.439154,704.9375603,15.68043093,16,1,0,No,No,No,499,1,1,441
E722502,47.74202,-92.78159,630,1,48,9044.26,Widowed,Yes,Female,6.577552683,192.470522,888.6517305,11.30421466,18,3,1,No,Yes,Yes,226,2,3,4413
D515341,45.52596,-91.71346,15383,0,63,25381.66,Never Married,Yes,Female,3.174571918,159.951231,377.0810282,10.26646787,10,1,0,No,Yes,No,408,4,1,4885
U972291,42.35146,-73.02322,257,1,40,65064.31,Widowed,No,Male,17.88002366,112.455141,1606.489936,7.56618217,9,0,0,No,No,No,45,1,1,4839
N374641,42.43085,-77.84964,1012,0,67,12527.51,Divorced,Yes,Male,13.12190056,174.961766,1431.409396,10.40677369,14,2,0,Yes,No,No,591,4,1,2335
R736057,36.95739,-79.86453,20327,0,56,35499.06,Divorced,No,Female,23.34617699,162.452604,2253.85247,7.146124361,13,3,0,Yes,No,No,504,2,1,2219
K401117,38.01464,-83.76565,69,6,24,26282.4,Married,No,Female,6.311709178,137.483594,1353.29384,9.807530479,10,1,0,Yes,Yes,Yes,524,4,2,4754
O17401,40.80268,-96.95214,1130,2,79,51237.28,Divorced,No,Female,12.58298231,275.133571,1701.457566,10.61217014,12,3,0,No,No,Yes,416,3,3,8454
E779833,42.37724,-76.94575,4210,3,61,64222.21,Married,Yes,Male,7.120096363,127.442069,1290.737183,5.785085772,16,1,1,No,Yes,No,604,3,1,7794
Q527077,33.7683,-82.2322,155,0,38,11014.98,Divorced,Yes,Male,9.344886869,210.138,1403.270091,9.062879297,11,2,0,Yes,No,No,432,3,3,1472
Q765651,34.19544,-118.13796,37711,4,28,21172.49,Divorced,No,Female,22.37815032,147.456419,2603.903672,16.54443477,13,1,0,Yes,No,No,331,2,3,6413
W400552,42.29251,-91.53608,1800,3,44,26130.78,Divorced,Yes,Male,4.799514433,242.657291,1256.287854,4.539566699,8,2,0,No,Yes,Yes,137,2,2,7786
S979985,40.71569,-79.748,8028,1,65,36478.21,Widowed,No,Male,10.04672315,114.983787,980.9935923,7.251198724,14,2,0,Yes,No,Yes,284,4,1,4977
E351590,26.57593,-81.94532,31859,3,35,54533.63,Divorced,No,Female,8.156552837,187.656013,1347.869205,8.943293567,15,2,1,No,Yes,Yes,479,1,1,312
J227824,41.24042,-80.84612,16101,2,31,37103.18,Separated,No,Female,7.992791229,149.991327,1127.267848,12.57884215,9,3,1,No,Yes,No,362,2,3,7024
S136858,28.33597,-82.20146,20449,2,34,74679.84,Widowed,No,Male,7.231032028,124.960655,1269.836202,11.64836306,11,0,1,Yes,Yes,Yes,395,1,3,7323
N883325,41.51534,-76.97577,161,2,68,95028.57,Separated,Yes,Male,4.627672042,220.161527,1038.745378,6.076260652,13,0,0,No,Yes,Yes,543,3,1,7694
U700981,41.8364,-72.46061,29210,0,62,34281.1,Never Married,No,Male,10.05306287,172.48852,1531.155367,11.75681641,9,0,0,No,No,No,199,1,3,4889
X267853,42.11139,-88.99956,821,0,52,36240.81,Separated,No,Male,4.171044392,120.004928,991.2441024,9.173739977,14,0,1,No,Yes,Yes,240,3,3,1063
S985225,41.15338,-87.62902,5846,5,32,9515.64,Divorced,Yes,Male,4.568682641,220.161527,1244.296865,8.353693631,11,4,0,No,No,No,419,4,1,2025
X645702,40.42752,-81.29587,4476,0,47,125814.88,Divorced,Yes,Female,6.085030507,139.965008,1162.332926,10.74539526,10,0,1,No,Yes,No,142,4,1,1285
I703479,33.75973,-85.81881,5529,8,66,12995.68,Divorced,No,Female,2.730250735,159.951231,577.1157824,11.36323648,12,1,1,No,Yes,No,480,4,1,8116
S370452,42.76391,-71.4071,25328,1,70,77531.43,Divorced,Yes,Female,8.574901206,184.949594,1442.974877,2.310584634,14,1,0,No,Yes,No,141,1,1,2768
D333249,43.42122,-76.09223,3736,3,41,87354.99,Divorced,Yes,Male,9.743201772,252.637807,1577.208717,5.290318715,10,0,0,No,Yes,No,297,4,1,7379
O698848,46.21378,-95.61021,610,2,59,76567.85,Separated,No,Male,9.482919033,112.455141,886.9398744,5.258274954,8,1,0,No,Yes,No,382,1,1,7551
M248356,39.22601,-75.66854,34,1,46,30663.52,Married,No,Male,8.447988841,179.979358,1065.06443,7.157580014,12,0,0,No,No,No,189,3,3,3028
E759213,36.45915,-77.5707,3199,3,70,122957.19,Married,No,Male,6.365998533,202.443347,951.886985,2.120350511,17,0,0,No,Yes,Yes,558,1,2,2010
G106476,32.96633,-95.12119,1135,1,89,31600.92,Widowed,No,Male,7.251397592,197.472533,1404.435534,4.978546291,12,2,0,No,No,No,462,1,2,8471
D873414,35.72895,-98.7404,1750,4,75,74638.78,Never Married,Yes,Female,14.64011644,255.155493,1925.911722,6.547676875,10,3,1,No,No,No,519,4,2,8579
X906302,37.04672,-83.47218,1076,0,26,32652.3,Married,Yes,Female,11.71637124,174.976769,1805.011298,7.410590719,9,0,1,Yes,No,Yes,288,3,1,4738
Z245249,41.92493,-88.88861,1692,4,25,63650.54,Divorced,No,Female,4.13273503,169.992756,700.7343179,11.39765385,8,1,1,No,Yes,No,145,3,3,5216
T30358,28.80493,-96.98473,43123,1,84,28622.6,Widowed,Yes,Female,2.887429547,192.440432,513.237305,11.29945603,14,1,0,No,No,No,189,1,1,8125
K974027,41.07608,-74.59774,2396,3,69,50252.79,Never Married,No,Male,3.303030246,182.460772,717.3876564,11.30748265,15,0,2,No,No,Yes,629,1,1,5822
R464272,32.45432,-100.36402,12914,3,31,19800.81,Divorced,No,Male,5.15825129,139.965008,1313.492851,10.31551212,11,2,1,No,No,Yes,174,2,2,988
Q541158,44.93099,-93.07957,15171,10,76,35954.77,Married,Yes,Male,3.237560234,137.461553,819.4195269,13.71555406,14,1,0,No,No,No,110,3,1,5385
O707075,40.44172,-74.84013,5157,8,75,36342.31,Divorced,Yes,Male,2.733109234,217.472533,882.1160656,15.40917963,15,2,0,No,No,No,53,1,1,7966
L229402,44.11271,-94.89317,828,1,74,48715.53,Divorced,Yes,Prefer not to answer,3.180102025,210.138,724.7803356,11.9664542,17,1,0,No,Yes,Yes,635,4,3,5266
Y259927,41.54231,-74.35823,98,1,49,23204.98,Divorced,No,Male,15.85983755,104.964303,1829.270014,10.18046877,10,2,0,No,No,No,417,3,3,9
G820541,40.35592,-80.24823,15671,1,47,35302.52,Separated,Yes,Male,11.73724209,262.610632,1668.199119,14.01485542,16,1,1,No,No,No,431,1,1,582
F672614,44.02608,-75.85861,2229,4,20,54895.16,Married,Yes,Female,7.006240694,152.488401,1124.353152,14.62784306,17,2,0,No,Yes,Yes,537,2,1,5501
L686627,43.71022,-123.95642,4982,2,26,60398.06,Never Married,Yes,Female,5.562130367,174.974431,1316.239744,10.90517581,10,2,0,No,No,No,72,2,2,8146
T660448,34.17123,-118.32382,18575,2,72,8115.88,Never Married,No,Female,14.53027663,220.118516,1637.201426,8.894475174,8,0,1,No,No,No,250,2,2,5432
G864898,41.76336,-72.72717,15715,1,41,33858.66,Divorced,No,Male,5.905906389,162.452604,951.8524406,10.50187888,13,0,0,Yes,No,Yes,371,4,1,5422
V847401,31.30969,-91.60794,6252,3,26,29950.47,Married,Yes,Female,3.260462654,184.961033,1248.097652,12.34250072,12,2,1,No,Yes,Yes,141,4,1,467
X852253,32.11472,-89.22514,3834,4,55,49421.69,Separated,No,Male,18.91276578,217.483972,2220.255405,10.29380879,12,3,0,No,Yes,No,601,3,2,1653
M482085,34.15607,-117.40417,19556,1,46,11061.05,Married,No,Female,14.25617986,220.118516,1669.202417,8.512650562,11,2,1,No,Yes,No,540,4,3,700
L535753,42.00853,-87.69481,47732,0,87,15388.32,Separated,Yes,Female,7.983887266,187.642236,990.0555076,7.82671592,13,1,2,Yes,Yes,No,604,1,2,852
K265986,29.50205,-95.08652,86926,1,39,20624.31,Divorced,No,Male,5.969967132,174.961766,967.9819136,6.985590245,9,2,1,Yes,No,Yes,629,3,3,4003
C695447,38.01464,-83.76565,69,0,81,47877.81,Married,Yes,Male,19.95277818,252.637807,2190.259876,11.40449185,12,0,0,No,No,No,367,3,3,6652
T484755,40.75225,-73.37596,15033,0,83,46154.17,Never Married,No,Male,14.85781115,130.024412,1445.752781,10.44249511,13,1,0,No,Yes,No,108,2,2,287
X999392,42.09364,-88.77654,2673,0,50,107111.8,Widowed,Yes,Female,2.600063739,162.482694,528.6553088,15.38627887,12,2,0,No,No,No,287,2,1,1869
N995093,43.55141,-93.22052,1879,3,87,10403.59,Married,Yes,Female,11.92299244,182.467607,1296.481055,10.68024546,13,2,1,No,Yes,No,530,1,1,5146
D478815,42.57963,-110.84469,358,3,76,22412.6,Married,No,Female,5.972864167,139.934918,1195.393037,10.62439366,13,0,0,No,Yes,No,170,4,3,7552
I338069,41.70628,-83.6037,32653,6,25,19476.27,Widowed,Yes,Female,10.87555535,200.165175,1700.121992,10.91642397,13,1,0,Yes,No,No,310,4,3,2807
T278739,43.56677,-114.3155,10398,3,34,96382.76,Married,Yes,Male,16.00330155,202.682861,2120.673828,8.580626195,14,0,0,No,Yes,No,154,4,3,6401
