location_id,zip,city,state,county
5747,63624,Bismarck,MO,St. Francois
4770,54639,La Farge,WI,Vernon
798,12053,Delanson,NY,Albany
5333,60067,Palatine,IL,Cook
2696,31774,Ocilla,GA,Irwin
4585,52314,Mount Vernon,IA,Linn
8531,99591,Saint George Island,AK,Aleutians West
5856,64780,Rockville,MO,Bates
1025,14072,Grand Island,NY,Erie
7702,88081,Chaparral,NM,Otero
1511,18630,Meshoppen,PA,Wyoming
3210,37846,Philadelphia,TN,Loudon
5318,59923,Libby,MT,Lincoln
6591,73531,Devol,OK,Cotton
4367,49868,Newberry,MI,Luce
6984,77505,Pasadena,TX,Harris
1419,17748,Mc Elhattan,PA,Clinton
1121,14889,Van Etten,NY,Chemung
2487,29666,Ninety Six,SC,Greenwood
8026,94086,Sunnyvale,CA,Santa Clara
216,3070,New Boston,NH,Hillsborough
2617,30720,Dalton,GA,Whitfield
5360,60411,Chicago Heights,IL,Cook
6358,71259,Mangham,LA,Richland
4736,54430,Elton,WI,Langlade
3350,39189,Walnut Grove,MS,Leake
2921,33928,Estero,FL,Lee
7650,87083,Cochiti Lake,NM,Sandoval
2833,33141,Miami Beach,FL,Miami-Dade
1318,16662,Martinsburg,PA,Blair
5955,66093,Westphalia,KS,Anderson
6516,72734,Gentry,AR,Benton
434,5826,Craftsbury,VT,Orleans
5788,64070,Lone Jack,MO,Jackson
8340,97636,Paisley,OR,Lake
2795,32804,Orlando,FL,Orange
8024,94061,Redwood City,CA,San Mateo
8190,95930,Clipper Mills,CA,Butte
3274,38451,Culleoka,TN,Marshall
2235,27583,Timberlake,NC,Person
2266,27862,Pendleton,NC,Northampton
4050,47130,Jeffersonville,IN,Clark
6742,75409,Anna,TX,Collin
1947,24401,Staunton,VA,Staunton
1205,15554,New Paris,PA,Bedford
906,12998,Witherbee,NY,Essex
7531,85003,Phoenix,AZ,Maricopa
4850,55337,Burnsville,MN,Dakota
8483,99031,Spangle,WA,Spokane
3217,37881,Thorn Hill,TN,Hawkins
545,7505,Paterson,NJ,Passaic
1411,17579,Strasburg,PA,Lancaster
7262,80428,Clark,CO,Routt
3926,45769,Pomeroy,OH,Meigs
5802,64125,Kansas City,MO,Jackson
5893,65456,Davisville,MO,Crawford
2595,30529,Commerce,GA,Jackson
5919,65722,Phillipsburg,MO,Laclede
7733,89017,Hiko,NV,Lincoln
8109,95305,Big Oak Flat,CA,Tuolumne
964,13436,Raquette Lake,NY,Hamilton
6819,76016,Arlington,TX,Tarrant
6789,75756,Brownsboro,TX,Henderson
7410,83283,Thatcher,ID,Franklin
6352,71219,Baskin,LA,Franklin
2317,28303,Fayetteville,NC,Cumberland
498,6807,Cos Cob,CT,Fairfield
2347,28450,Lake Waccamaw,NC,Columbus
971,13483,Westdale,NY,Oneida
1018,14034,Collins,NY,Erie
1480,18332,Henryville,PA,Monroe
4384,49959,Ramsay,MI,Gogebic
1333,16823,Bellefonte,PA,Centre
1368,17049,Mc Alisterville,PA,Juniata
850,12495,Willow,NY,Ulster
7657,87315,Fence Lake,NM,Cibola
4760,54618,Camp Douglas,WI,Juneau
616,8246,South Seaville,NJ,Cape May
4019,46770,Markle,IN,Wells
8005,93654,Reedley,CA,Fresno
286,4022,Denmark,ME,Oxford
5666,62966,Murphysboro,IL,Jackson
4752,54545,Manitowish Waters,WI,Vilas
5639,62707,Springfield,IL,Sangamon
491,6705,Waterbury,CT,New Haven
3150,37091,Lewisburg,TN,Marshall
3807,44608,Beach City,OH,Stark
3872,45249,Cincinnati,OH,Hamilton
6050,67448,Gypsum,KS,Saline
6941,77071,Houston,TX,Harris
4133,47942,Earl Park,IN,Benton
2416,28906,Murphy,NC,Cherokee
4588,52323,Oxford Junction,IA,Jones
706,10552,Mount Vernon,NY,Westchester
7787,90035,Los Angeles,CA,Los Angeles
2355,28529,Grantsboro,NC,Pamlico
863,12583,Tivoli,NY,Dutchess
3218,37886,Walland,TN,Blount
2107,26237,Tallmansville,WV,Upshur
4300,49252,Litchfield,MI,Hillsdale
3353,39201,Jackson,MS,Hinds
6898,76682,Riesel,TX,McLennan
6846,76228,Bellevue,TX,Clay
619,8323,Greenwich,NJ,Cumberland
2343,28435,Currie,NC,Pender
2719,32086,Saint Augustine,FL,St. Johns
7452,83703,Boise,ID,Ada
6461,72168,Tucker,AR,Jefferson
7417,83348,Picabo,ID,Blaine
7303,80910,Colorado Springs,CO,El Paso
2635,31022,Dudley,GA,Laurens
6120,68065,Valparaiso,NE,Saunders
6325,70740,Grosse Tete,LA,Iberville
1418,17730,Dewart,PA,Northumberland
1948,24435,Fairfield,VA,Rockbridge
3332,38962,Tippo,MS,Tallahatchie
4051,47138,Lexington,IN,Scott
7899,92338,Ludlow,CA,San Bernardino
2670,31539,Hazlehurst,GA,Jeff Davis
7677,87553,Penasco,NM,Taos
6553,73061,Morrison,OK,Noble
1114,14854,Jacksonville,NY,Tompkins
5084,57345,Highmore,SD,Hyde
2897,33756,Clearwater,FL,Pinellas
2338,28399,White Oak,NC,Bladen
2609,30627,Carlton,GA,Oglethorpe
7420,83406,Idaho Falls,ID,Bonneville
2085,25920,Slab Fork,WV,Raleigh
2152,26619,Exchange,WV,Braxton
4576,52232,Hartwick,IA,Poweshiek
2346,28445,Holly Ridge,NC,Onslow
4235,48654,Rose City,MI,Ogemaw
3355,39206,Jackson,MS,Hinds
3357,39213,Jackson,MS,Hinds
7332,81230,Gunnison,CO,Gunnison
487,6498,Westbrook,CT,Middlesex
1825,23119,Moon,VA,Mathews
1026,14098,Lyndonville,NY,Orleans
6474,72395,Wilson,AR,Mississippi
8487,99123,Electric City,WA,Grant
2008,25048,Colcord,WV,Raleigh
3828,44837,Greenwich,OH,Ashland
5612,62478,West York,IL,Crawford
3169,37321,Dayton,TN,Rhea
3143,37048,Cottontown,TN,Sumner
7035,78066,Rio Medina,TX,Medina
3462,40390,Wilmore,KY,Jessamine
2712,31909,Columbus,GA,Muscogee
2461,29470,Ravenel,SC,Charleston
7230,79912,El Paso,TX,El Paso
8578,99841,Tenakee Springs,AK,Hoonah-Angoon
2393,28671,Rutherford College,NC,Burke
1438,17878,Stillwater,PA,Columbia
2167,26802,Brandywine,WV,Pendleton
6124,68110,Omaha,NE,Douglas
8372,98047,Pacific,WA,King
1705,21562,Westernport,MD,Allegany
2988,35043,Chelsea,AL,Shelby
5628,62631,Concord,IL,Morgan
4617,52639,Montrose,IA,Lee
481,6461,Milford,CT,New Haven
5799,64117,Kansas City,MO,Clay
6650,74120,Tulsa,OK,Tulsa
8046,94548,Knightsen,CA,Contra Costa
7830,91321,Newhall,CA,Los Angeles
6261,69356,Minatare,NE,Scotts Bluff
5023,56593,Wolf Lake,MN,Becker
799,12054,Delmar,NY,Albany
3166,37243,Nashville,TN,Davidson
2439,29210,Columbia,SC,Richland
5965,66412,Bremen,KS,Marshall
478,6423,East Haddam,CT,Middlesex
376,4989,Vassalboro,ME,Kennebec
4642,53083,Sheboygan,WI,Sheboygan
1316,16652,Huntingdon,PA,Huntingdon
5555,62051,Irving,IL,Montgomery
6861,76364,Harrold,TX,Wilbarger
7394,83025,Teton Village,WY,Teton
426,5751,Killington,VT,Rutland
2647,31069,Perry,GA,Houston
191,2816,Coventry,RI,Kent
8201,95991,Yuba City,CA,Sutter
1086,14709,Angelica,NY,Allegany
394,5346,Putney,VT,Windham
5331,60045,Lake Forest,IL,Lake
494,6762,Middlebury,CT,New Haven
5677,63025,Eureka,MO,St. Louis
2871,33511,Brandon,FL,Hillsborough
1584,19477,Spring House,PA,Montgomery
7704,88113,Causey,NM,Roosevelt
4313,49403,Conklin,MI,Ottawa
8249,96753,Kihei,HI,Maui
7319,81091,Weston,CO,Las Animas
3930,45807,Lima,OH,Allen
3874,45305,Bellbrook,OH,Greene
1682,21114,Crofton,MD,Anne Arundel
1679,21090,Linthicum Heights,MD,Anne Arundel
4363,49838,Gould City,MI,Mackinac
5113,57543,Kadoka,SD,Jackson
5981,66542,Tecumseh,KS,Shawnee
6550,73049,Jones,OK,Oklahoma
6922,76951,Sterling City,TX,Sterling
3581,42027,Boaz,KY,Graves
7853,91763,Montclair,CA,San Bernardino
1984,24857,Lynco,WV,Wyoming
7574,85501,Globe,AZ,Gila
3472,40513,Lexington,KY,Fayette
4976,56303,Saint Cloud,MN,Stearns
8250,96759,Kunia,HI,Honolulu
4513,50862,Sharpsburg,IA,Taylor
69,1343,Drury,MA,Berkshire
6448,72110,Morrilton,AR,Conway
6696,74832,Carney,OK,Lincoln
5315,59864,Ronan,MT,Lake
1994,24938,Frankford,WV,Greenbrier
3435,40062,Saint Francis,KY,Marion
2026,25180,Saxon,WV,Raleigh
6903,76828,Burkett,TX,Coleman
886,12852,Newcomb,NY,Essex
2314,28212,Charlotte,NC,Mecklenburg
8027,94105,San Francisco,CA,San Francisco
468,6335,Gales Ferry,CT,New London
4347,49715,Brimley,MI,Chippewa
1439,17880,Swengel,PA,Union
5312,59853,Noxon,MT,Sanders
1781,22715,Brightwood,VA,Madison
5999,66767,Prescott,KS,Linn
4811,54956,Neenah,WI,Winnebago
6338,71024,Dubberly,LA,Webster
3197,37713,Bybee,TN,Cocke
2761,32505,Pensacola,FL,Escambia
3062,36013,Cecil,AL,Montgomery
7696,88051,Mule Creek,NM,Grant
11,698,Yauco,PR,Yauco
8045,94545,Hayward,CA,Alameda
2005,25033,Buffalo,WV,Putnam
532,7204,Roselle Park,NJ,Union
942,13323,Clinton,NY,Oneida
484,6482,Sandy Hook,CT,Fairfield
6788,75754,Ben Wheeler,TX,Van Zandt
285,4017,Chebeague Island,ME,Cumberland
3075,36080,Titus,AL,Elmore
4776,54727,Cadott,WI,Chippewa
6434,72034,Conway,AR,Faulkner
8434,98572,Pe Ell,WA,Lewis
107,1845,North Andover,MA,Essex
2709,31829,Upatoi,GA,Muscogee
4109,47620,Mount Vernon,IN,Posey
750,11510,Baldwin,NY,Nassau
3059,35987,Steele,AL,St. Clair
4482,50586,Somers,IA,Calhoun
6838,76129,Fort Worth,TX,Tarrant
165,2564,Siasconset,MA,Nantucket
693,10505,Baldwin Place,NY,Westchester
7333,81232,Hillside,CO,Fremont
6952,77303,Conroe,TX,Montgomery
7726,88411,Bard,NM,Quay
7115,78677,Wrightsboro,TX,Gonzales
2006,25035,Cabin Creek,WV,Kanawha
1736,21913,Cecilton,MD,Cecil
4584,52310,Monticello,IA,Jones
5467,61361,Sheffield,IL,Bureau
1337,16838,Grampian,PA,Clearfield
2828,33131,Miami,FL,Miami-Dade
6781,75683,Ore City,TX,Upshur
2779,32641,Gainesville,FL,Alachua
2268,27872,Roxobel,NC,Bertie
5751,63663,Pilot Knob,MO,Iron
2882,33576,San Antonio,FL,Pasco
7315,81047,Holly,CO,Prowers
3199,37719,Coalfield,TN,Morgan
6425,72011,Bauxite,AR,Saline
4018,46766,Liberty Center,IN,Wells
2892,33714,Saint Petersburg,FL,Pinellas
3972,46203,Indianapolis,IN,Marion
2781,32653,Gainesville,FL,Alachua
7984,93461,Shandon,CA,San Luis Obispo
1382,17120,Harrisburg,PA,Dauphin
4663,53403,Racine,WI,Racine
813,12149,Richmondville,NY,Schoharie
2421,29033,Cayce,SC,Lexington
6177,68667,Surprise,NE,Butler
591,8008,Beach Haven,NJ,Ocean
6383,71461,New Llano,LA,Vernon
276,3862,North Hampton,NH,Rockingham
3086,36301,Dothan,AL,Houston
1662,20877,Gaithersburg,MD,Montgomery
4409,50105,Gilbert,IA,Story
3181,37376,Sherwood,TN,Franklin
3653,43140,London,OH,Madison
876,12784,Thompsonville,NY,Sullivan
4906,55947,La Crescent,MN,Houston
7565,85349,San Luis,AZ,Yuma
5913,65656,Galena,MO,Stone
8515,99501,Anchorage,AK,Anchorage
2793,32757,Mount Dora,FL,Lake
2557,30252,Mcdonough,GA,Henry
5622,62550,Moweaqua,IL,Shelby
1579,19428,Conshohocken,PA,Montgomery
3286,38501,Cookeville,TN,Putnam
7246,80128,Littleton,CO,Jefferson
5532,61853,Mahomet,IL,Champaign
2938,34223,Englewood,FL,Sarasota
5589,62338,Fowler,IL,Adams
1131,15020,Bunola,PA,Allegheny
115,1950,Newburyport,MA,Essex
6915,76903,San Angelo,TX,Tom Green
6552,73055,Marlow,OK,Stephens
2742,32340,Madison,FL,Madison
3668,43240,Columbus,OH,Delaware
6366,71331,Effie,LA,Avoyelles
2046,25434,Paw Paw,WV,Hampshire
4049,47129,Clarksville,IN,Clark
7215,79766,Odessa,TX,Ector
7026,78021,Fowlerton,TX,La Salle
7797,90260,Lawndale,CA,Los Angeles
2561,30288,Conley,GA,Clayton
4328,49508,Grand Rapids,MI,Kent
795,12043,Cobleskill,NY,Schoharie
1118,14865,Montour Falls,NY,Schuyler
5773,63901,Poplar Bluff,MO,Butler
4821,55027,Goodhue,MN,Goodhue
6506,72641,Jasper,AR,Newton
1090,14722,Chautauqua,NY,Chautauqua
6608,73716,Aline,OK,Alfalfa
7913,92507,Riverside,CA,Riverside
7015,77872,North Zulch,TX,Madison
8414,98368,Port Townsend,WA,Jefferson
879,12801,Glens Falls,NY,Warren
7255,80235,Denver,CO,Jefferson
3784,44270,Rittman,OH,Wayne
7338,81251,Twin Lakes,CO,Lake
6622,73848,Laverne,OK,Harper
1365,17042,Lebanon,PA,Lebanon
3456,40311,Carlisle,KY,Nicholas
790,12010,Amsterdam,NY,Montgomery
3277,38456,Ethridge,TN,Lawrence
32,959,Bayamon,PR,BayamÃ³n
8253,96769,Makaweli,HI,Kauai
4997,56450,Garrison,MN,Crow Wing
1290,16353,Tionesta,PA,Forest
6316,70646,Hayes,LA,Calcasieu
7014,77871,Normangee,TX,Leon
3121,36765,Newbern,AL,Hale
6577,73441,Leon,OK,Love
5375,60490,Bolingbrook,IL,Will
6212,68865,Phillips,NE,Hamilton
4131,47933,Crawfordsville,IN,Montgomery
730,11206,Brooklyn,NY,Kings
8446,98632,Longview,WA,Cowlitz
5932,65809,Springfield,MO,Greene
3469,40502,Lexington,KY,Fayette
3474,40701,Corbin,KY,Whitley
1116,14856,Kanona,NY,Steuben
8044,94541,Hayward,CA,Alameda
558,7649,Oradell,NJ,Bergen
889,12864,Sabael,NY,Hamilton
4582,52307,Middle Amana,IA,Iowa
789,11978,Westhampton Beach,NY,Suffolk
5101,57452,Java,SD,Walworth
1525,18828,Lawton,PA,Susquehanna
8417,98403,Tacoma,WA,Pierce
1559,19122,Philadelphia,PA,Philadelphia
4519,51029,Larrabee,IA,Cherokee
7560,85322,Arlington,AZ,Maricopa
5446,61258,Hooppole,IL,Henry
8297,97373,Saint Benedict,OR,Marion
2570,30354,Atlanta,GA,Fulton
1625,20139,Casanova,VA,Fauquier
5239,59025,Decker,MT,Big Horn
2799,32817,Orlando,FL,Orange
7501,84336,Snowville,UT,Box Elder
4578,52255,Lowden,IA,Cedar
4934,56069,Montgomery,MN,Le Sueur
6117,68048,Plattsmouth,NE,Cass
8556,99721,Anaktuvuk Pass,AK,North Slope
2236,27587,Wake Forest,NC,Wake
2477,29593,Society Hill,SC,Darlington
2331,28369,Orrum,NC,Robeson
985,13661,Mannsville,NY,Jefferson
207,3031,Amherst,NH,Hillsborough
6389,71601,Pine Bluff,AR,Jefferson
6815,75980,Zavalla,TX,Angelina
2527,30043,Lawrenceville,GA,Gwinnett
1907,24088,Ferrum,VA,Franklin
885,12837,Hampton,NY,Washington
3407,39773,West Point,MS,Clay
7125,78742,Austin,TX,Travis
6447,72103,Mabelvale,AR,Saline
2920,33920,Alva,FL,Lee
2903,33830,Bartow,FL,Polk
1936,24293,Wise,VA,Wise
2115,26282,Monterville,WV,Randolph
1877,23872,Mc Kenney,VA,Dinwiddie
8478,99011,Fairchild Air Force Base,WA,Spokane
6122,68070,Weston,NE,Saunders
4695,53916,Beaver Dam,WI,Dodge
2264,27855,Murfreesboro,NC,Hertford
6489,72478,Warm Springs,AR,Randolph
4465,50529,Dakota City,IA,Humboldt
4356,49802,Kingsford,MI,Dickinson
3582,42049,Hazel,KY,Calloway
3517,41201,Adams,KY,Lawrence
3918,45685,Thurman,OH,Gallia
7300,80821,Hugo,CO,Lincoln
3004,35172,Trafford,AL,Blount
903,12980,Saint Regis Falls,NY,Franklin
4810,54949,Manawa,WI,Waupaca
4265,48873,Pewamo,MI,Ionia
2932,34116,Naples,FL,Collier
2771,32601,Gainesville,FL,Alachua
5640,62811,Bellmont,IL,Wabash
4610,52580,Packwood,IA,Jefferson
6203,68825,Callaway,NE,Custer
3176,37351,Lupton City,TN,Hamilton
3729,43793,Woodsfield,OH,Monroe
4129,47928,Cayuga,IN,Vermillion
1460,18032,Catasauqua,PA,Lehigh
2666,31520,Brunswick,GA,Glynn
3502,41051,Independence,KY,Kenton
1980,24834,Fanrock,WV,Wyoming
3868,45232,Cincinnati,OH,Hamilton
5536,61876,Sidell,IL,Vermilion
7924,92603,Irvine,CA,Orange
4574,52220,Conroy,IA,Iowa
2437,29164,Wagener,SC,Aiken
4168,48084,Troy,MI,Oakland
5021,56589,Waubun,MN,Mahnomen
3320,38826,Belden,MS,Lee
1068,14513,Newark,NY,Wayne
5508,61606,Peoria,IL,Peoria
6524,72824,Belleville,AR,Yell
4112,47639,Haubstadt,IN,Gibson
7828,91302,Calabasas,CA,Los Angeles
3410,39823,Blakely,GA,Early
300,4108,Peaks Island,ME,Cumberland
4940,56098,Winnebago,MN,Faribault
7050,78226,San Antonio,TX,Bexar
7978,93433,Grover Beach,CA,San Luis Obispo
6883,76543,Killeen,TX,Bell
3254,38240,Obion,TN,Obion
4012,46714,Bluffton,IN,Wells
3980,46236,Indianapolis,IN,Marion
111,1906,Saugus,MA,Essex
915,13108,Marcellus,NY,Onondaga
4595,52358,West Branch,IA,Cedar
8086,95062,Santa Cruz,CA,Santa Cruz
8042,94533,Fairfield,CA,Solano
1463,18052,Whitehall,PA,Lehigh
3442,40121,Fort Knox,KY,Hardin
6504,72630,Diamond City,AR,Boone
4503,50681,Westgate,IA,Fayette
3988,46347,Kouts,IN,Porter
5497,61517,Brimfield,IL,Peoria
1599,19901,Dover,DE,Kent
912,13063,Fabius,NY,Onondaga
5945,66035,Highland,KS,Doniphan
4460,50482,Ventura,IA,Cerro Gordo
2685,31642,Pearson,GA,Atkinson
2572,30412,Alston,GA,Montgomery
2423,29047,Elloree,SC,Orangeburg
3823,44695,Bowerston,OH,Carroll
5767,63867,Matthews,MO,New Madrid
1764,22529,Oldhams,VA,Westmoreland
143,2215,Boston,MA,Suffolk
1170,15337,Graysville,PA,Greene
5478,61420,Blandinsville,IL,McDonough
1367,17046,Lebanon,PA,Lebanon
3491,40965,Middlesboro,KY,Bell
5061,57073,Wakonda,SD,Clay
2648,31070,Pinehurst,GA,Dooly
4970,56260,Maynard,MN,Chippewa
3454,40228,Louisville,KY,Jefferson
2040,25313,Charleston,WV,Kanawha
7381,82725,Recluse,WY,Campbell
4394,50025,Audubon,IA,Audubon
7365,82214,Guernsey,WY,Platte
2574,30417,Claxton,GA,Evans
5967,66416,Circleville,KS,Jackson
3204,37754,Heiskell,TN,Anderson
6716,75077,Lewisville,TX,Denton
7564,85348,Salome,AZ,La Paz
781,11796,West Sayville,NY,Suffolk
2478,29611,Greenville,SC,Greenville
6889,76577,Thorndale,TX,Milam
5906,65606,Alton,MO,Oregon
1790,22820,Criders,VA,Rockingham
6511,72668,Peel,AR,Marion
8560,99740,Fort Yukon,AK,Yukon-Koyukuk
6971,77433,Cypress,TX,Harris
2261,27845,Jackson,NC,Northampton
5323,60007,Elk Grove Village,IL,Cook
4917,55983,Wanamingo,MN,Goodhue
3113,36582,Theodore,AL,Mobile
7974,93311,Bakersfield,CA,Kern
5008,56537,Fergus Falls,MN,Otter Tail
5632,62650,Jacksonville,IL,Morgan
6970,77430,Damon,TX,Brazoria
5750,63655,Marquand,MO,Madison
7219,79835,Canutillo,TX,El Paso
6470,72353,Lambrook,AR,Phillips
1876,23850,Ford,VA,Dinwiddie
1905,24083,Daleville,VA,Botetourt
7492,84106,Salt Lake City,UT,Salt Lake
1200,15538,Fairhope,PA,Somerset
7456,83714,Garden City,ID,Ada
1395,17316,East Berlin,PA,Adams
901,12974,Port Henry,NY,Essex
3762,44106,Cleveland,OH,Cuyahoga
5517,61741,Forrest,IL,Livingston
7665,87461,Sanostee,NM,San Juan
6006,66862,Matfield Green,KS,Chase
4955,56178,Tyler,MN,Lincoln
6513,72687,Yellville,AR,Marion
3412,39828,Cairo,GA,Grady
1228,15745,Heilwood,PA,Indiana
6563,73106,Oklahoma City,OK,Oklahoma
5219,58718,Berthold,ND,Ward
4589,52325,Parnell,IA,Iowa
2258,27832,Gaston,NC,Northampton
8067,94928,Rohnert Park,CA,Sonoma
1269,16143,Pulaski,PA,Lawrence
8583,99929,Wrangell,AK,Wrangell
8235,96710,Hakalau,HI,Hawaii
5973,66506,Manhattan,KS,Riley
4599,52402,Cedar Rapids,IA,Linn
