,Revenue
2020-07-07,5.816199182
2020-07-08,6.43853443
2020-07-09,5.90074056
2020-07-10,6.213554554
2020-07-11,5.561818866
2020-07-12,6.015062568
2020-07-13,6.245567733
2020-07-14,5.617964732
2020-07-15,6.047722333
2020-07-16,5.328600654
2020-07-17,5.984050593
2020-07-18,5.718670217
2020-07-19,6.168549778
2020-07-20,6.419179952
2020-07-21,6.770455873
2020-07-22,6.460004712
2020-07-23,5.973167431
2020-07-24,5.589806569
2020-07-25,5.966559897
2020-07-26,6.50841071
2020-07-27,5.914158993
2020-07-28,6.137185499
2020-07-29,6.701932741
2020-07-30,6.481133865
2020-07-31,6.502357716
2020-08-01,7.223705866
2020-08-02,6.832373048
2020-08-03,6.946346894
2020-08-04,6.239278536
2020-08-05,7.064640345
2020-08-06,6.695172714
2020-08-07,5.680079038
2020-08-08,6.412772263
2020-08-09,5.811691619
2020-08-10,6.18833241
2020-08-11,5.280124523
2020-08-12,6.278287558
2020-08-13,6.708512399
2020-08-14,6.524116876
2020-08-15,6.378960244
2020-08-16,6.434691767
2020-08-17,6.47520127
2020-08-18,7.384317349
2020-08-19,7.651861894
2020-08-20,8.701207113
2020-08-21,7.591809144
2020-08-22,8.133817813
2020-08-23,7.353039585
2020-08-24,7.544987314
2020-08-25,7.065749819
2020-08-26,7.550080449
2020-08-27,7.568530826
2020-08-28,6.781578804
2020-08-29,6.518598196
2020-08-30,6.365795463
2020-08-31,6.779827762
2020-09-01,6.517114237
2020-09-02,6.705527436
2020-09-03,7.092380299
2020-09-04,7.058309661
2020-09-05,6.544608743
2020-09-06,7.42956329
2020-09-07,7.721857658
2020-09-08,6.502133156
2020-09-09,7.391609269
2020-09-10,6.989221405
2020-09-11,7.45339929
2020-09-12,7.591757865
2020-09-13,7.766084958
2020-09-14,8.361602643
2020-09-15,8.037333381
2020-09-16,8.959983524
2020-09-17,9.15113802
2020-09-18,8.905577837
2020-09-19,9.415349311
2020-09-20,9.724684431
2020-09-21,10.09011507
2020-09-22,10.25465961
2020-09-23,9.549328447
2020-09-24,10.08531775
2020-09-25,10.86821621
2020-09-26,10.43282617
2020-09-27,11.15156592
2020-09-28,10.64484963
2020-09-29,10.96487737
2020-09-30,11.68964623
2020-10-01,10.89802648
2020-10-02,11.15595137
2020-10-03,11.12450766
2020-10-04,11.45453995
2020-10-05,10.88066325
2020-10-06,11.39306098
2020-10-07,11.55030041
2020-10-08,11.35877212
2020-10-09,11.40012934
2020-10-10,10.80415319
2020-10-11,10.95113957
2020-10-12,10.00965452
2020-10-13,10.63852616
2020-10-14,10.11305364
2020-10-15,10.0095536
2020-10-16,10.2115207
2020-10-17,10.17354697
2020-10-18,9.849481019
2020-10-19,10.24676663
2020-10-20,9.835264689
2020-10-21,10.49314322
2020-10-22,9.603350087
2020-10-23,9.24876006
2020-10-24,9.401037919
2020-10-25,9.939871378
2020-10-26,10.13535112
2020-10-27,9.647129671
2020-10-28,10.78557055
2020-10-29,9.760365268
2020-10-30,10.3869437
2020-10-31,10.4788635
2020-11-01,10.57752336
2020-11-02,10.47291662
2020-11-03,10.40893697
2020-11-04,9.654938495
2020-11-05,9.834805834
2020-11-06,9.425696511
2020-11-07,9.55456512
2020-11-08,10.10855667
2020-11-09,9.526518729
2020-11-10,10.03160103
2020-11-11,9.68084097
2020-11-12,9.70637883
2020-11-13,8.587347032
2020-11-14,9.048395345
2020-11-15,8.263694395
2020-11-16,9.0399819
2020-11-17,9.163766036
2020-11-18,9.518616967
2020-11-19,8.592423729
2020-11-20,8.600153773
2020-11-21,8.899976886
2020-11-22,9.491880902
2020-11-23,9.119437222
2020-11-24,10.17182049
2020-11-25,10.15898941
2020-11-26,10.88522035
2020-11-27,10.05228172
2020-11-28,10.22987502
2020-11-29,9.841212706
2020-11-30,10.49074993
2020-12-01,10.19191851
2020-12-02,10.01436423
2020-12-03,9.99085923
2020-12-04,10.02681131
2020-12-05,9.525744753
2020-12-06,9.765642634
2020-12-07,9.555497572
2020-12-08,9.11228015
2020-12-09,8.759691125
2020-12-10,9.249328093
2020-12-11,8.77552317
2020-12-12,9.854105527
2020-12-13,10.25335772
2020-12-14,9.9843748
2020-12-15,11.06398076
2020-12-16,10.71010619
2020-12-17,11.25761409
2020-12-18,10.60928267
2020-12-19,11.32932884
2020-12-20,11.16053242
2020-12-21,11.33996004
2020-12-22,11.54239828
2020-12-23,11.79270684
2020-12-24,11.70526835
2020-12-25,11.89753587
2020-12-26,11.78967252
2020-12-27,11.61994787
2020-12-28,11.96826033
2020-12-29,12.28792621
2020-12-30,12.43813368
2020-12-31,11.99189083
2021-01-01,11.85068671
2021-01-02,12.26622586
2021-01-03,11.15803183
2021-01-04,12.11997933
2021-01-05,11.76873233
2021-01-06,11.12803578
2021-01-07,10.86603266
2021-01-08,10.23757712
2021-01-09,10.14320748
2021-01-10,10.46689075
2021-01-11,10.69625935
2021-01-12,10.45534182
2021-01-13,10.83652579
2021-01-14,10.71043553
2021-01-15,11.51680064
2021-01-16,11.29962526
2021-01-17,12.04357266
2021-01-18,12.37934218
2021-01-19,12.06734366
2021-01-20,11.21216257
2021-01-21,10.75617064
2021-01-22,10.85446209
2021-01-23,10.62193078
2021-01-24,10.39052456
2021-01-25,11.32402028
2021-01-26,11.23435857
2021-01-27,10.63505592
2021-01-28,11.86507245
2021-01-29,11.64172029
2021-01-30,12.27268843
2021-01-31,12.12051353
2021-02-01,12.51634578
2021-02-02,11.95056055
2021-02-03,12.22118708
2021-02-04,12.27182008
2021-02-05,12.28144634
2021-02-06,12.05270478
2021-02-07,12.42338133
2021-02-08,11.85932698
2021-02-09,11.73912658
2021-02-10,11.92291
2021-02-11,12.157616
2021-02-12,11.79346872
2021-02-13,11.9430778
2021-02-14,11.36953639
2021-02-15,11.64293102
2021-02-16,10.89965094
2021-02-17,11.51358095
2021-02-18,10.95912682
2021-02-19,10.31231737
2021-02-20,10.77773788
2021-02-21,11.03581856
2021-02-22,11.04543669
2021-02-23,11.63735871
2021-02-24,11.84817774
2021-02-25,11.30317125
2021-02-26,10.85196452
2021-02-27,11.58185214
2021-02-28,10.9251649
2021-03-01,11.58242318
2021-03-02,11.714175
2021-03-03,11.85870991
2021-03-04,12.4743538
2021-03-05,13.28181359
2021-03-06,12.38885091
2021-03-07,12.69666202
2021-03-08,12.75891555
2021-03-09,12.79436534
2021-03-10,13.03626492
2021-03-11,12.61389051
2021-03-12,13.20618288
2021-03-13,11.33646421
2021-03-14,12.33494046
2021-03-15,12.2952658
2021-03-16,12.27980845
2021-03-17,12.42600982
2021-03-18,12.25776278
2021-03-19,11.87191996
2021-03-20,12.67618483
2021-03-21,12.1142837
2021-03-22,11.96338146
2021-03-23,12.44743229
2021-03-24,12.72511952
2021-03-25,12.5116333
2021-03-26,12.17234837
2021-03-27,11.97771742
2021-03-28,12.23245368
2021-03-29,12.37410985
2021-03-30,12.98195912
2021-03-31,12.49576931
2021-04-01,13.41855217
2021-04-02,12.310697
2021-04-03,11.70179391
2021-04-04,12.4746098
2021-04-05,12.30447328
2021-04-06,11.91232484
2021-04-07,12.06182155
2021-04-08,11.82917264
2021-04-09,11.82716412
2021-04-10,12.1895535
2021-04-11,11.78537286
2021-04-12,11.63884845
2021-04-13,11.63896413
2021-04-14,11.88642246
2021-04-15,11.85488462
2021-04-16,11.84609015
2021-04-17,11.74862167
2021-04-18,11.87811409
2021-04-19,12.20198435
2021-04-20,11.45912015
2021-04-21,12.34953765
2021-04-22,11.87079189
2021-04-23,12.42081087
2021-04-24,12.85218592
2021-04-25,12.79460121
2021-04-26,13.62608898
2021-04-27,13.22768706
2021-04-28,13.67048893
2021-04-29,13.02040072
2021-04-30,14.02855963
2021-05-01,13.70373558
2021-05-02,13.14141166
2021-05-03,14.58439135
2021-05-04,12.99860149
2021-05-05,13.94233027
2021-05-06,13.35883336
2021-05-07,13.14583676
2021-05-08,13.14194539
2021-05-09,13.78288481
2021-05-10,13.2471014
2021-05-11,12.91791795
2021-05-12,13.08170823
2021-05-13,12.56804083
2021-05-14,12.74694261
2021-05-15,12.35284367
2021-05-16,12.98090483
2021-05-17,12.90913353
2021-05-18,12.5920623
2021-05-19,12.53504785
2021-05-20,12.85674512
2021-05-21,12.26760949
2021-05-22,11.98661548
2021-05-23,12.52412042
2021-05-24,12.66745399
2021-05-25,12.25648214
2021-05-26,11.91079143
2021-05-27,11.78397433
2021-05-28,11.92127457
2021-05-29,12.158925
2021-05-30,11.81057468
2021-05-31,11.88975226
2021-06-01,11.69825461
2021-06-02,12.17167502
2021-06-03,11.82052751
2021-06-04,11.15347885
2021-06-05,11.23717709
2021-06-06,11.15107411
2021-06-07,11.08064513
2021-06-08,11.64138463
2021-06-09,11.64244469
2021-06-10,11.37726013
2021-06-11,12.70618117
2021-06-12,12.65099724
2021-06-13,12.6903084
2021-06-14,13.02786915
2021-06-15,12.80178234
2021-06-16,13.42265358
2021-06-17,12.80727665
2021-06-18,12.80567703
2021-06-19,11.92365881
2021-06-20,12.49031206
2021-06-21,12.71389921
2021-06-22,12.53482273
2021-06-23,13.43723176
2021-06-24,13.63800734
2021-06-25,12.95851121
2021-06-26,13.00209354
2021-06-27,12.19453438
2021-06-28,12.65658197
2021-06-29,12.26725363
2021-06-30,12.46538558
2021-07-01,11.52944628
2021-07-02,11.91740943
2021-07-03,11.38219886
2021-07-04,11.26626767
2021-07-05,11.76828749
2021-07-06,11.87538744
2021-07-07,12.58730685
2021-07-08,12.39629138
2021-07-09,12.80282887
2021-07-10,12.24385654
2021-07-11,12.67030902
2021-07-12,13.31219796
2021-07-13,13.31603826
2021-07-14,13.04627103
2021-07-15,12.75132567
2021-07-16,12.78686786
2021-07-17,13.44438984
2021-07-18,13.73178244
2021-07-19,13.10876341
2021-07-20,14.05092571
2021-07-21,13.78269338
2021-07-22,14.17450212
2021-07-23,14.56967641
2021-07-24,13.67098592
2021-07-25,13.98910617
2021-07-26,14.24029335
2021-07-27,13.93475205
2021-07-28,14.02469716
2021-07-29,14.41839801
2021-07-30,13.5356501
2021-07-31,13.66849178
2021-08-01,13.60088212
2021-08-02,13.93891958
2021-08-03,14.05218356
2021-08-04,13.52047837
2021-08-05,13.08264299
2021-08-06,13.50488575
2021-08-07,13.68482591
2021-08-08,13.15290319
